Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704758A
Comment,
Iridium IMEI,300434063145970

Report Period Begins,2018.11.29 17:15:00
Report Period Ends,2018.11.29 19:31:13

Report File Number,1 of 1
File Coverage Begins,2018.11.29 17:15:00
File Coverage Ends,2018.11.29 19:31:13

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.29 17:15:00,2018.11.29 17:15:00,,,,,,,,,,,,,,,,,,25,,2018.11.29 17:31:05,1,,,,Roof Test,No,
2018.11.29 17:15:12,2018.11.29 17:15:00,,,,2018.11.29 17:15:12,Resolved QFP,33.384333,-111.811038,12S,3694189,424565,382,,1.8,0x84186280,8,,,,,2018.11.29 17:31:05,1,,,,Roof Test,No,
2018.11.29 17:30:00,2018.11.29 17:30:00,,,,,,,,,,,,,,,,,,27,,2018.11.29 17:31:05,1,,,,Roof Test,No,
2018.11.29 17:30:18,2018.11.29 17:30:00,,,,2018.11.29 17:30:18,Resolved QFP,33.384352,-111.811188,12S,3694191,424551,381,,1.2,0x84986280,9,,,,,2018.11.29 17:31:05,1,,,,Roof Test,No,
2018.11.29 17:31:05,2018.11.29 17:31:05,8,33.42897,-111.82537,,,,,,,,,,,,,,,,,2018.11.29 17:31:05,,,,,,,
2018.11.29 17:31:05,2018.11.29 17:31:05,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:31:05,1,No,No,,,No,
2018.11.29 17:45:00,2018.11.29 17:45:00,,,,,,,,,,,,,,,,,,31,,2018.11.29 18:01:07,1,,,,Roof Test,No,
2018.11.29 17:45:15,2018.11.29 17:45:00,,,,2018.11.29 17:45:15,Resolved QFP,33.384239,-111.811014,12S,3694179,424568,393,,1.2,0x84986200,8,,,,,2018.11.29 18:01:07,1,,,,Roof Test,No,
2018.11.29 18:00:00,2018.11.29 18:00:00,,,,,,,,,,,,,,,,,,29,,2018.11.29 18:01:07,1,,,,Roof Test,No,
2018.11.29 18:00:10,2018.11.29 18:00:00,,,,2018.11.29 18:00:10,Resolved QFP,33.384370,-111.811102,12S,3694193,424559,392,,1.7,0x84180280,6,,,,,2018.11.29 18:01:07,1,,,,Roof Test,No,
2018.11.29 18:01:07,2018.11.29 18:01:07,4,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.29 18:01:07,,,,,,,
2018.11.29 18:01:07,2018.11.29 18:01:07,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 18:01:07,1,No,No,,,No,
2018.11.29 18:15:00,2018.11.29 18:15:00,,,,,,,,,,,,,,,,,,27,,2018.11.29 18:31:06,1,,,,Roof Test,No,
2018.11.29 18:15:10,2018.11.29 18:15:00,,,,2018.11.29 18:15:10,Resolved QFP,33.384406,-111.811152,12S,3694197,424555,392,,1.5,0xC0180280,6,,,,,2018.11.29 18:31:06,1,,,,Roof Test,No,
