Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,700537A
Comment,
Iridium IMEI,300434062297790

Report Period Begins,2018.04.16 17:12:52
Report Period Ends,2021.03.02 08:02:02

Report File Number,1 of 1
File Coverage Begins,2018.04.16 17:12:52
File Coverage Ends,2021.03.02 08:02:02

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.04.16 17:12:52,2018.04.16 17:12:52,,,,,,,,,,,,,,,,,,10,,2018.04.16 17:18:12,1,,,,,Yes,
2018.04.16 17:13:42,2018.04.16 17:12:52,,,,2018.04.16 17:13:42,Succeeded,66.720981,-151.495607,5W,7401077,566341,,9.81,,,,,,,,2018.04.16 17:18:12,1,,,,,Yes,
2018.04.16 17:17:52,2018.04.16 17:12:52,,,,,,,,,,,,,,,,,12,,,2018.04.16 17:18:12,1,,,,,Yes,
2018.04.16 17:18:12,2018.04.16 17:18:12,4,66.75310,-151.40403,,,,,,,,,,,,,,,,,2018.04.16 17:18:12,,,,,,,
2018.04.16 17:18:12,2018.04.16 17:18:12,,,,,,,,,,,,,,,,,,,Hit,2018.04.16 17:18:12,1,,,,,Yes,
2019.03.31 20:00:07,2019.03.31 20:00:00,,,,2019.03.31 20:00:07,Resolved QFP,66.647765,-151.473035,5W,7392941,567536,157,,1.1,0x2C0050D0,8,,,,,2019.04.02 16:00:44,1,,,,Primary,No,
2019.04.01 00:00:00,2019.04.01 00:00:00,,,,,,,,,,,,,,,,,,15,,2019.04.02 16:00:44,1,,,,Primary,No,
2019.04.01 00:00:10,2019.04.01 00:00:00,,,,2019.04.01 00:00:10,Resolved QFP,66.646833,-151.487051,5W,7392822,566919,174,,1.3,0x80A50820,7,,,,,2019.04.02 16:00:44,1,,,,Primary,No,
2019.04.01 04:00:00,2019.04.01 04:00:00,,,,,,,,,,,,,,,,,,30,,2019.04.02 16:00:44,1,,,,Primary,No,
2019.04.01 04:00:07,2019.04.01 04:00:00,,,,2019.04.01 04:00:07,Resolved QFP,66.671105,-151.490030,5W,7395524,566721,172,,0.9,0x53500810,8,,,,,2019.04.02 16:00:44,1,,,,Primary,No,
2019.04.01 08:00:00,2019.04.01 08:00:00,,,,,,,,,,,,,,,,,,8,,2019.04.02 16:00:44,1,,,,Primary,No,
2019.04.01 08:00:07,2019.04.01 08:00:00,,,,2019.04.01 08:00:07,Resolved QFP,66.708018,-151.501687,5W,7399625,566108,186,,1.2,0x241A8280,8,,,,,2019.04.02 16:00:44,1,,,,Primary,No,
2019.04.01 12:00:00,2019.04.01 12:00:00,,,,,,,,,,,,,,,,,,8,,2019.04.02 16:00:44,1,,,,Primary,No,
2019.04.01 12:00:48,2019.04.01 12:00:00,,,,2019.04.01 12:00:48,Succeeded,66.771260,-151.518143,5W,7406656,565214,,24.50,,,,48,,,,2019.04.02 16:00:44,1,,,,Primary,No,
