Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704686A
Comment,
Iridium IMEI,300434062092790

Report Period Begins,2018.11.19 20:30:00
Report Period Ends,2020.03.10 20:01:05

Report File Number,1 of 1
File Coverage Begins,2018.11.19 20:30:00
File Coverage Ends,2020.03.10 20:01:05

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.19 20:30:00,2018.11.19 20:30:00,,,,,,,,,,,,,,,,,,34,,2018.11.19 20:46:46,1,,,,Roof Test,No,
2018.11.19 20:30:13,2018.11.19 20:30:00,,,,2018.11.19 20:30:13,Resolved QFP,33.384385,-111.811053,12S,3694195,424564,374,,1.0,0xC4282681,10,,,,,2018.11.19 20:46:46,1,,,,Roof Test,No,
2018.11.19 20:45:00,2018.11.19 20:45:00,,,,,,,,,,,,,,,,,,38,,2018.11.19 20:46:46,1,,,,Roof Test,No,
2018.11.19 20:45:13,2018.11.19 20:45:00,,,,2018.11.19 20:45:13,Resolved QFP,33.384491,-111.810961,12S,3694207,424573,392,,1.1,0xC0282681,9,,,,,2018.11.19 20:46:46,1,,,,Roof Test,No,
2018.11.19 20:46:46,2018.11.19 20:46:46,4,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.19 20:46:46,,,,,,,
2018.11.19 20:46:46,2018.11.19 20:46:46,,,,,,,,,,,,,,,,,,,Hit,2018.11.19 20:46:46,1,No,No,,,No,
2018.11.19 21:00:00,2018.11.19 21:00:00,,,,,,,,,,,,,,,,,,39,,2018.11.19 21:16:42,1,,,,Roof Test,No,
2018.11.19 21:00:12,2018.11.19 21:00:00,,,,2018.11.19 21:00:12,Resolved QFP,33.384315,-111.811270,12S,3694187,424544,412,,1.2,0xC0282E05,10,,,,,2018.11.19 21:16:42,1,,,,Roof Test,No,
2018.11.19 21:15:00,2018.11.19 21:15:00,,,,,,,,,,,,,,,,,,40,,2018.11.19 21:16:42,1,,,,Roof Test,No,
2018.11.19 21:15:12,2018.11.19 21:15:00,,,,2018.11.19 21:15:12,Resolved QFP,33.384498,-111.810989,12S,3694208,424570,399,,1.1,0xC2282285,10,,,,,2018.11.19 21:16:42,1,,,,Roof Test,No,
2018.11.19 21:16:42,2018.11.19 21:16:42,6,33.43635,-111.78542,,,,,,,,,,,,,,,,,2018.11.19 21:16:42,,,,,,,
2018.11.19 21:16:42,2018.11.19 21:16:42,,,,,,,,,,,,,,,,,,,Hit,2018.11.19 21:16:42,1,No,No,,,No,
2018.11.19 21:30:00,2018.11.19 21:30:00,,,,,,,,,,,,,,,,,,37,,2018.11.19 21:46:46,1,,,,Roof Test,No,
2018.11.19 21:30:12,2018.11.19 21:30:00,,,,2018.11.19 21:30:12,Resolved QFP,33.384372,-111.811142,12S,3694194,424556,389,,1.0,0xC3200605,9,,,,,2018.11.19 21:46:46,1,,,,Roof Test,No,
