Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704740A
Comment,
Iridium IMEI,300434063248000

Report Period Begins,2018.11.28 18:30:00
Report Period Ends,2018.11.28 21:04:44

Report File Number,1 of 1
File Coverage Begins,2018.11.28 18:30:00
File Coverage Ends,2018.11.28 21:04:44

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.28 18:30:00,2018.11.28 18:30:00,,,,,,,,,,,,,,,,,,29,,2018.11.28 18:54:43,1,,,,Roof Test,No,
2018.11.28 18:30:10,2018.11.28 18:30:00,,,,2018.11.28 18:30:10,Resolved QFP (Uncertain),33.384255,-111.811306,12S,3694181,424540,383,,2.0,0xC4880200,6,,,,,2018.11.28 18:54:43,1,,,,Roof Test,No,
2018.11.28 18:45:00,2018.11.28 18:45:00,,,,,,,,,,,,,,,,,,33,,2018.11.28 18:54:43,1,,,,Roof Test,No,
2018.11.28 18:45:10,2018.11.28 18:45:00,,,,2018.11.28 18:45:10,Resolved QFP,33.384292,-111.810966,12S,3694185,424572,385,,1.0,0xC4182600,8,,,,,2018.11.28 18:54:43,1,,,,Roof Test,No,
2018.11.28 18:54:43,2018.11.28 18:54:43,9,33.43262,-111.68952,,,,,,,,,,,,,,,,,2018.11.28 18:54:43,,,,,,,
2018.11.28 18:54:43,2018.11.28 18:54:43,,,,,,,,,,,,,,,,,,,Hit,2018.11.28 18:54:43,1,No,No,,,No,
2018.11.28 19:00:00,2018.11.28 19:00:00,,,,,,,,,,,,,,,,,,35,,2018.11.28 19:24:45,1,,,,Roof Test,No,
2018.11.28 19:00:07,2018.11.28 19:00:00,,,,2018.11.28 19:00:07,Resolved QFP,33.384274,-111.810998,12S,3694183,424569,395,,0.9,0xC4880281,8,,,,,2018.11.28 19:24:45,1,,,,Roof Test,No,
2018.11.28 19:15:00,2018.11.28 19:15:00,,,,,,,,,,,,,,,,,,34,,2018.11.28 19:24:45,1,,,,Roof Test,No,
2018.11.28 19:15:11,2018.11.28 19:15:00,,,,2018.11.28 19:15:11,Resolved QFP,33.384296,-111.811096,12S,3694185,424560,391,,0.9,0xC4382281,10,,,,,2018.11.28 19:24:45,1,,,,Roof Test,No,
2018.11.28 19:24:45,2018.11.28 19:24:45,9,33.35027,-111.80938,,,,,,,,,,,,,,,,,2018.11.28 19:24:45,,,,,,,
2018.11.28 19:24:45,2018.11.28 19:24:45,,,,,,,,,,,,,,,,,,,Hit,2018.11.28 19:24:45,1,No,No,,,No,
2018.11.28 19:30:00,2018.11.28 19:30:00,,,,,,,,,,,,,,,,,,36,,2018.11.28 19:54:41,1,,,,Roof Test,No,
2018.11.28 19:30:12,2018.11.28 19:30:00,,,,2018.11.28 19:30:12,Resolved QFP,33.384353,-111.811084,12S,3694191,424561,380,,1.0,0xC0382681,10,,,,,2018.11.28 19:54:41,1,,,,Roof Test,No,
