Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704778A
Comment,
Iridium IMEI,300434063244000

Report Period Begins,2018.11.29 17:00:00
Report Period Ends,2021.03.04 04:00:29

Report File Number,1 of 1
File Coverage Begins,2018.11.29 17:00:00
File Coverage Ends,2021.03.04 04:00:29

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.29 17:00:00,2018.11.29 17:00:00,,,,,,,,,,,,,,,,,,23,,2018.11.29 17:27:54,1,,,,Roof Test,No,
2018.11.29 17:00:14,2018.11.29 17:00:00,,,,2018.11.29 17:00:14,Resolved QFP,33.384457,-111.810856,12S,3694203,424582,404,,1.5,0x90186280,8,,,,,2018.11.29 17:27:54,1,,,,Roof Test,No,
2018.11.29 17:15:00,2018.11.29 17:15:00,,,,,,,,,,,,,,,,,,24,,2018.11.29 17:27:54,1,,,,Roof Test,No,
2018.11.29 17:15:10,2018.11.29 17:15:00,,,,2018.11.29 17:15:10,Resolved QFP,33.384431,-111.811051,12S,3694200,424564,386,,2.0,0x84184280,7,,,,,2018.11.29 17:27:54,1,,,,Roof Test,No,
2018.11.29 17:27:54,2018.11.29 17:27:54,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:27:54,1,No,No,,,No,
2018.11.29 17:27:54,2018.11.29 17:27:54,2,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.29 17:27:54,,,,,,,
2018.11.29 17:30:00,2018.11.29 17:30:00,,,,,,,,,,,,,,,,,,26,,2018.11.29 17:57:59,1,,,,Roof Test,No,
2018.11.29 17:30:09,2018.11.29 17:30:00,,,,2018.11.29 17:30:09,Resolved QFP,33.384413,-111.811199,12S,3694198,424550,381,,1.5,0x84980280,7,,,,,2018.11.29 17:57:59,1,,,,Roof Test,No,
2018.11.29 17:45:00,2018.11.29 17:45:00,,,,,,,,,,,,,,,,,,29,,2018.11.29 17:57:59,1,,,,Roof Test,No,
2018.11.29 17:45:16,2018.11.29 17:45:00,,,,2018.11.29 17:45:16,Resolved QFP,33.384366,-111.811094,12S,3694193,424560,403,,2.4,0x04980280,6,,,,,2018.11.29 17:57:59,1,,,,Roof Test,No,
2018.11.29 17:57:59,2018.11.29 17:57:59,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:57:59,1,No,No,,,No,
2018.11.29 17:57:59,2018.11.29 17:57:59,3,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.29 17:57:59,,,,,,,
2018.11.29 18:00:00,2018.11.29 18:00:00,,,,,,,,,,,,,,,,,,28,,2018.11.29 18:27:56,1,,,,Roof Test,No,
2018.11.29 18:00:12,2018.11.29 18:00:00,,,,2018.11.29 18:00:12,Resolved QFP,33.384374,-111.810795,12S,3694194,424588,418,,2.2,0x00986200,6,,,,,2018.11.29 18:27:56,1,,,,Roof Test,No,
