Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704736A
Comment,
Iridium IMEI,300434063149970

Report Period Begins,2018.11.28 18:30:00
Report Period Ends,2024.08.01 12:00:28

Report File Number,1 of 1
File Coverage Begins,2018.11.28 18:30:00
File Coverage Ends,2024.08.01 12:00:28

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.28 18:30:00,2018.11.28 18:30:00,,,,,,,,,,,,,,,,,,29,,2018.11.28 18:52:31,1,,,,Roof Test,No,
2018.11.28 18:30:12,2018.11.28 18:30:00,,,,2018.11.28 18:30:12,Resolved QFP,33.384424,-111.811109,12S,3694199,424559,380,,1.2,0xC0180680,7,,,,,2018.11.28 18:52:31,1,,,,Roof Test,No,
2018.11.28 18:45:00,2018.11.28 18:45:00,,,,,,,,,,,,,,,,,,34,,2018.11.28 18:52:31,1,,,,Roof Test,No,
2018.11.28 18:45:12,2018.11.28 18:45:00,,,,2018.11.28 18:45:12,Resolved QFP,33.384382,-111.810987,12S,3694195,424570,391,,0.9,0xC4902600,8,,,,,2018.11.28 18:52:31,1,,,,Roof Test,No,
2018.11.28 18:52:31,2018.11.28 18:52:31,3,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.28 18:52:31,,,,,,,
2018.11.28 18:52:31,2018.11.28 18:52:31,,,,,,,,,,,,,,,,,,,Hit,2018.11.28 18:52:31,1,No,No,,,No,
2018.11.28 19:00:00,2018.11.28 19:00:00,,,,,,,,,,,,,,,,,,35,,2018.11.28 19:22:28,1,,,,Roof Test,No,
2018.11.28 19:00:12,2018.11.28 19:00:00,,,,2018.11.28 19:00:12,Resolved QFP,33.384297,-111.811196,12S,3694185,424551,383,,1.2,0xC0982601,9,,,,,2018.11.28 19:22:28,1,,,,Roof Test,No,
2018.11.28 19:15:00,2018.11.28 19:15:00,,,,,,,,,,,,,,,,,,36,,2018.11.28 19:22:28,1,,,,Roof Test,No,
2018.11.28 19:15:09,2018.11.28 19:15:00,,,,2018.11.28 19:15:09,Resolved QFP,33.384346,-111.811054,12S,3694191,424564,395,,1.1,0xC4280201,7,,,,,2018.11.28 19:22:28,1,,,,Roof Test,No,
2018.11.28 19:22:28,2018.11.28 19:22:28,26,33.38405,-111.90523,,,,,,,,,,,,,,,,,2018.11.28 19:22:28,,,,,,,
2018.11.28 19:22:28,2018.11.28 19:22:28,,,,,,,,,,,,,,,,,,,Hit,2018.11.28 19:22:28,1,No,No,,,No,
2018.11.28 19:30:00,2018.11.28 19:30:00,,,,,,,,,,,,,,,,,,37,,2018.11.28 19:52:32,1,,,,Roof Test,No,
2018.11.28 19:30:12,2018.11.28 19:30:00,,,,2018.11.28 19:30:12,Resolved QFP,33.384427,-111.811097,12S,3694200,424560,388,,0.9,0xC4382681,11,,,,,2018.11.28 19:52:32,1,,,,Roof Test,No,
