Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704784A
Comment,
Iridium IMEI,300434063147990

Report Period Begins,2018.11.29 17:00:00
Report Period Ends,2021.03.03 16:00:23

Report File Number,1 of 1
File Coverage Begins,2018.11.29 17:00:00
File Coverage Ends,2021.03.03 16:00:23

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.29 17:00:00,2018.11.29 17:00:00,,,,,,,,,,,,,,,,,,23,,2018.11.29 17:29:18,1,,,,Roof Test,No,
2018.11.29 17:00:12,2018.11.29 17:00:00,,,,2018.11.29 17:00:12,Resolved QFP,33.384430,-111.810951,12S,3694200,424574,404,,1.0,0x94986280,10,,,,,2018.11.29 17:29:18,1,,,,Roof Test,No,
2018.11.29 17:15:00,2018.11.29 17:15:00,,,,,,,,,,,,,,,,,,24,,2018.11.29 17:29:18,1,,,,Roof Test,No,
2018.11.29 17:15:09,2018.11.29 17:15:00,,,,2018.11.29 17:15:09,Resolved QFP,33.384345,-111.811078,12S,3694191,424562,388,,2.3,0x84180280,6,,,,,2018.11.29 17:29:18,1,,,,Roof Test,No,
2018.11.29 17:29:18,2018.11.29 17:29:18,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:29:18,1,No,No,,,No,
2018.11.29 17:29:18,2018.11.29 17:29:18,4,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.29 17:29:18,,,,,,,
2018.11.29 17:30:00,2018.11.29 17:30:00,,,,,,,,,,,,,,,,,,26,,2018.11.29 17:59:20,1,,,,Roof Test,No,
2018.11.29 17:30:08,2018.11.29 17:30:00,,,,2018.11.29 17:30:08,Resolved QFP,33.384435,-111.811138,12S,3694201,424556,384,,1.4,0x84980280,7,,,,,2018.11.29 17:59:20,1,,,,Roof Test,No,
2018.11.29 17:45:00,2018.11.29 17:45:00,,,,,,,,,,,,,,,,,,30,,2018.11.29 17:59:20,1,,,,Roof Test,No,
2018.11.29 17:45:16,2018.11.29 17:45:00,,,,2018.11.29 17:45:16,Resolved QFP,33.384331,-111.811075,12S,3694189,424562,373,,1.3,0x84980280,7,,,,,2018.11.29 17:59:20,1,,,,Roof Test,No,
2018.11.29 17:59:20,2018.11.29 17:59:20,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:59:20,1,No,No,,,No,
2018.11.29 17:59:20,2018.11.29 17:59:20,7,33.42897,-111.82537,,,,,,,,,,,,,,,,,2018.11.29 17:59:20,,,,,,,
2018.11.29 18:00:00,2018.11.29 18:00:00,,,,,,,,,,,,,,,,,,29,,2018.11.29 18:29:20,1,,,,Roof Test,No,
2018.11.29 18:00:09,2018.11.29 18:00:00,,,,2018.11.29 18:00:09,Resolved QFP,33.384416,-111.811151,12S,3694199,424555,381,,2.6,0x04980280,6,,,,,2018.11.29 18:29:20,1,,,,Roof Test,No,
