Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704689A
Comment,
Iridium IMEI,300434063242360

Report Period Begins,2018.11.19 20:15:00
Report Period Ends,2021.04.15 16:00:28

Report File Number,1 of 1
File Coverage Begins,2018.11.19 20:15:00
File Coverage Ends,2021.04.15 16:00:28

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.19 20:15:00,2018.11.19 20:15:00,,,,,,,,,,,,,,,,,,24,,2018.11.19 20:44:15,1,,,,Roof Test,No,
2018.11.19 20:15:15,2018.11.19 20:15:00,,,,2018.11.19 20:15:15,Resolved QFP,33.384433,-111.811099,12S,3694200,424560,384,,0.9,0xC4382681,11,,,,,2018.11.19 20:44:15,1,,,,Roof Test,No,
2018.11.19 20:30:00,2018.11.19 20:30:00,,,,,,,,,,,,,,,,,,34,,2018.11.19 20:44:15,1,,,,Roof Test,No,
2018.11.19 20:30:13,2018.11.19 20:30:00,,,,2018.11.19 20:30:13,Resolved QFP,33.384417,-111.811212,12S,3694199,424549,396,,1.0,0xC1282681,10,,,,,2018.11.19 20:44:15,1,,,,Roof Test,No,
2018.11.19 20:44:15,2018.11.19 20:44:15,,,,,,,,,,,,,,,,,,,Hit,2018.11.19 20:44:15,1,No,No,,,No,
2018.11.19 20:44:15,2018.11.19 20:44:15,6,33.42897,-111.82537,,,,,,,,,,,,,,,,,2018.11.19 20:44:15,,,,,,,
2018.11.19 20:45:00,2018.11.19 20:45:00,,,,,,,,,,,,,,,,,,38,,2018.11.19 21:14:14,1,,,,Roof Test,No,
2018.11.19 20:45:15,2018.11.19 20:45:00,,,,2018.11.19 20:45:15,Resolved QFP,33.384450,-111.811106,12S,3694202,424559,388,,1.8,0xC1202401,7,,,,,2018.11.19 21:14:14,1,,,,Roof Test,No,
2018.11.19 21:00:00,2018.11.19 21:00:00,,,,,,,,,,,,,,,,,,40,,2018.11.19 21:14:14,1,,,,Roof Test,No,
2018.11.19 21:00:15,2018.11.19 21:00:00,,,,2018.11.19 21:00:15,Resolved QFP,33.384435,-111.811151,12S,3694201,424555,395,,1.4,0x41282605,9,,,,,2018.11.19 21:14:14,1,,,,Roof Test,No,
2018.11.19 21:14:14,2018.11.19 21:14:14,,,,,,,,,,,,,,,,,,,Hit,2018.11.19 21:14:14,1,No,No,,,No,
2018.11.19 21:14:14,2018.11.19 21:14:14,3,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.19 21:14:14,,,,,,,
2018.11.19 21:15:00,2018.11.19 21:15:00,,,,,,,,,,,,,,,,,,41,,2018.11.19 21:44:12,1,,,,Roof Test,No,
2018.11.19 21:15:14,2018.11.19 21:15:00,,,,2018.11.19 21:15:14,Resolved QFP,33.384457,-111.811142,12S,3694203,424556,404,,1.0,0xC3202605,10,,,,,2018.11.19 21:44:12,1,,,,Roof Test,No,
