Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704545A
Comment,
Iridium IMEI,300434063150290

Report Period Begins,2018.11.13 12:45:00
Report Period Ends,2018.11.13 15:22:14

Report File Number,1 of 1
File Coverage Begins,2018.11.13 12:45:00
File Coverage Ends,2018.11.13 15:22:14

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.13 12:45:00,2018.11.13 12:45:00,,,,,,,,,,,,,,,,,,18,,2018.11.13 13:12:08,1,,,,Roof Test,No,
2018.11.13 12:45:13,2018.11.13 12:45:00,,,,2018.11.13 12:45:13,Resolved QFP,33.384839,-111.811050,12S,3694245,424565,406,,1.9,0x51000832,7,,,,,2018.11.13 13:12:08,1,,,,Roof Test,No,
2018.11.13 13:00:00,2018.11.13 13:00:00,,,,,,,,,,,,,,,,,,10,,2018.11.13 13:12:08,1,,,,Roof Test,No,
2018.11.13 13:00:17,2018.11.13 13:00:00,,,,2018.11.13 13:00:17,Resolved QFP,33.384712,-111.811256,12S,3694231,424545,416,,1.9,0x51000812,6,,,,,2018.11.13 13:12:08,1,,,,Roof Test,No,
2018.11.13 13:12:08,2018.11.13 13:12:08,,,,,,,,,,,,,,,,,,,Hit,2018.11.13 13:12:08,1,No,No,,,No,
2018.11.13 13:15:00,2018.11.13 13:15:00,,,,,,,,,,,,,,,,,,8,,2018.11.13 13:42:13,1,,,,Roof Test,No,
2018.11.13 13:15:16,2018.11.13 13:15:00,,,,2018.11.13 13:15:16,Resolved QFP,33.384627,-111.811265,12S,3694222,424545,414,,1.7,0x51000832,7,,,,,2018.11.13 13:42:13,1,,,,Roof Test,No,
2018.11.13 13:30:00,2018.11.13 13:30:00,,,,,,,,,,,,,,,,,,7,,2018.11.13 13:42:13,1,,,,Roof Test,No,
2018.11.13 13:30:13,2018.11.13 13:30:00,,,,2018.11.13 13:30:13,Resolved QFP,33.384516,-111.811151,12S,3694210,424555,401,,1.0,0x51005812,8,,,,,2018.11.13 13:42:13,1,,,,Roof Test,No,
2018.11.13 13:42:13,2018.11.13 13:42:13,12,33.29435,-111.83332,,,,,,,,,,,,,,,,,2018.11.13 13:42:13,,,,,,,
2018.11.13 13:42:13,2018.11.13 13:42:13,,,,,,,,,,,,,,,,,,,Hit,2018.11.13 13:42:13,1,No,No,,,No,
2018.11.13 13:45:00,2018.11.13 13:45:00,,,,,,,,,,,,,,,,,,6,,2018.11.13 14:12:10,1,,,,Roof Test,No,
2018.11.13 13:45:12,2018.11.13 13:45:00,,,,2018.11.13 13:45:12,Resolved QFP,33.384504,-111.811113,12S,3694208,424559,396,,1.0,0x51005812,8,,,,,2018.11.13 14:12:10,1,,,,Roof Test,No,
2018.11.13 14:00:00,2018.11.13 14:00:00,,,,,,,,,,,,,,,,,,5,,2018.11.13 14:12:10,1,,,,Roof Test,No,
