Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,700516A
Comment,
Iridium IMEI,300434062291820

Report Period Begins,2018.03.22 18:37:23
Report Period Ends,2020.11.19 17:37:00

Report File Number,1 of 1
File Coverage Begins,2018.03.22 18:37:23
File Coverage Ends,2020.11.19 17:37:00

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.03.22 18:37:23,2018.03.22 18:37:23,,,,,,,,,,,,,,,,,,10,,2018.03.22 22:42:58,1,,,,,Yes,
2018.03.22 18:40:01,2018.03.22 18:37:23,,,,2018.03.22 18:40:01,Succeeded,65.285011,-156.513043,4W,7242507,616002,,21.22,,,,,,,,2018.03.22 22:42:58,1,,,,,Yes,
2018.03.22 18:42:23,2018.03.22 18:37:23,,,,,,,,,,,,,,,,,24,,,2018.03.22 22:42:58,1,,,,,Yes,
2018.03.22 20:00:00,2018.03.22 20:00:00,,,,,,,,,,,,,,,,,,20,,2018.03.25 00:02:17,1,,,,Primary,No,
2018.03.22 20:00:10,2018.03.22 20:00:00,,,,2018.03.22 20:00:10,Resolved QFP,65.284997,-156.513034,4W,7242505,616002,56,,1.2,0x2C0081D0,8,,,,,2018.03.25 00:02:17,1,,,,Primary,No,
2018.03.22 20:10:00,2018.03.22 20:00:00,,,,,,,,,,,,,,,,,0,,,2018.03.25 00:02:17,1,,,,Primary,No,
2018.03.22 22:42:58,2018.03.22 22:42:58,3,65.28348,-156.54246,,,,,,,,,,,,,,,,,2018.03.22 22:42:58,,,,,,,
2018.03.22 22:42:58,2018.03.22 22:42:58,,,,,,,,,,,,,,,,,,,Hit,2018.03.22 22:42:58,1,,,,,Yes,
2018.03.23 00:00:00,2018.03.23 00:00:00,,,,,,,,,,,,,,,,,,5,,2018.03.25 00:02:17,1,,,,Primary,No,
2018.03.23 00:00:20,2018.03.23 00:00:00,,,,2018.03.23 00:00:20,Resolved QFP,65.278852,-156.514655,4W,7241818,615954,88,,2.3,0x00870201,6,,,,,2018.03.25 00:02:17,1,,,,Primary,No,
2018.03.23 04:00:00,2018.03.23 04:00:00,,,,,,,,,,,,,,,,,,1,,2018.03.25 00:02:17,1,,,,Primary,No,
2018.03.23 04:00:16,2018.03.23 04:00:00,,,,2018.03.23 04:00:16,Resolved QFP,65.290199,-156.522204,4W,7243068,615552,46,,1.8,0x51000822,6,,,,,2018.03.25 00:02:17,1,,,,Primary,No,
2018.03.23 08:00:00,2018.03.23 08:00:00,,,,,,,,,,,,,,,,,,12,,2018.03.25 00:02:17,1,,,,Primary,No,
2018.03.23 08:00:11,2018.03.23 08:00:00,,,,2018.03.23 08:00:11,Resolved QFP,65.275883,-156.516428,4W,7241484,615884,88,,1.3,0x1410D050,8,,,,,2018.03.25 00:02:17,1,,,,Primary,No,
