Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704772A
Comment,
Iridium IMEI,300434063057990

Report Period Begins,2018.11.29 17:15:00
Report Period Ends,2018.11.29 19:30:33

Report File Number,1 of 1
File Coverage Begins,2018.11.29 17:15:00
File Coverage Ends,2018.11.29 19:30:33

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.29 17:15:00,2018.11.29 17:15:00,,,,,,,,,,,,,,,,,,24,,2018.11.29 17:30:30,1,,,,Roof Test,No,
2018.11.29 17:15:13,2018.11.29 17:15:00,,,,2018.11.29 17:15:13,Resolved QFP,33.384417,-111.811101,12S,3694199,424560,391,,2.7,0x04184280,6,,,,,2018.11.29 17:30:30,1,,,,Roof Test,No,
2018.11.29 17:30:00,2018.11.29 17:30:00,,,,,,,,,,,,,,,,,,26,,2018.11.29 17:30:30,1,,,,Roof Test,No,
2018.11.29 17:30:10,2018.11.29 17:30:00,,,,2018.11.29 17:30:10,Resolved QFP,33.384421,-111.811082,12S,3694199,424561,376,,1.5,0x84182280,7,,,,,2018.11.29 17:30:30,1,,,,Roof Test,No,
2018.11.29 17:30:30,2018.11.29 17:30:30,6,33.39885,-111.82537,,,,,,,,,,,,,,,,,2018.11.29 17:30:30,,,,,,,
2018.11.29 17:30:30,2018.11.29 17:30:30,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:30:30,1,No,No,,,No,
2018.11.29 17:45:00,2018.11.29 17:45:00,,,,,,,,,,,,,,,,,,30,,2018.11.29 18:00:36,1,,,,Roof Test,No,
2018.11.29 18:00:00,2018.11.29 18:00:00,,,,,,,,,,,,,,,,,,29,,2018.11.29 18:00:36,1,,,,Roof Test,No,
2018.11.29 18:00:09,2018.11.29 18:00:00,,,,2018.11.29 18:00:09,Resolved QFP,33.384354,-111.811064,12S,3694192,424563,389,,2.6,0x04980280,6,,,,,2018.11.29 18:00:36,1,,,,Roof Test,No,
2018.11.29 18:00:36,2018.11.29 18:00:36,3,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.29 18:00:36,,,,,,,
2018.11.29 18:00:36,2018.11.29 18:00:36,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 18:00:36,1,No,No,,,No,
2018.11.29 18:15:00,2018.11.29 18:15:00,,,,,,,,,,,,,,,,,,27,,2018.11.29 18:30:32,1,,,,Roof Test,No,
2018.11.29 18:15:14,2018.11.29 18:15:00,,,,2018.11.29 18:15:14,Resolved QFP,33.384365,-111.811055,12S,3694193,424564,384,,1.7,0x80982280,7,,,,,2018.11.29 18:30:32,1,,,,Roof Test,No,
2018.11.29 18:30:00,2018.11.29 18:30:00,,,,,,,,,,,,,,,,,,25,,2018.11.29 18:30:32,1,,,,Roof Test,No,
