Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704694A
Comment,
Iridium IMEI,300434063247820

Report Period Begins,2018.11.19 20:30:00
Report Period Ends,2020.02.19 01:41:19

Report File Number,1 of 1
File Coverage Begins,2018.11.19 20:30:00
File Coverage Ends,2020.02.19 01:41:19

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.19 20:30:00,2018.11.19 20:30:00,,,,,,,,,,,,,,,,,,34,,2018.11.19 20:45:26,1,,,,Roof Test,No,
2018.11.19 20:30:14,2018.11.19 20:30:00,,,,2018.11.19 20:30:14,Resolved QFP,33.384409,-111.811129,12S,3694198,424557,391,,0.9,0xC5202601,9,,,,,2018.11.19 20:45:26,1,,,,Roof Test,No,
2018.11.19 20:45:00,2018.11.19 20:45:00,,,,,,,,,,,,,,,,,,37,,2018.11.19 20:45:26,1,,,,Roof Test,No,
2018.11.19 20:45:12,2018.11.19 20:45:00,,,,2018.11.19 20:45:12,Resolved QFP,33.384468,-111.811130,12S,3694204,424557,418,,1.0,0xC5202601,9,,,,,2018.11.19 20:45:26,1,,,,Roof Test,No,
2018.11.19 20:45:26,2018.11.19 20:45:26,7,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.19 20:45:26,,,,,,,
2018.11.19 20:45:26,2018.11.19 20:45:26,,,,,,,,,,,,,,,,,,,Hit,2018.11.19 20:45:26,1,No,No,,,No,
2018.11.19 21:00:00,2018.11.19 21:00:00,,,,,,,,,,,,,,,,,,38,,2018.11.19 21:15:26,1,,,,Roof Test,No,
2018.11.19 21:00:14,2018.11.19 21:00:00,,,,2018.11.19 21:00:14,Resolved QFP,33.384480,-111.811052,12S,3694206,424564,412,,0.8,0xC1282A85,11,,,,,2018.11.19 21:15:26,1,,,,Roof Test,No,
2018.11.19 21:15:00,2018.11.19 21:15:00,,,,,,,,,,,,,,,,,,40,,2018.11.19 21:15:26,1,,,,Roof Test,No,
2018.11.19 21:15:13,2018.11.19 21:15:00,,,,2018.11.19 21:15:13,Resolved QFP,33.384452,-111.811064,12S,3694202,424563,398,,0.8,0xC3082685,11,,,,,2018.11.19 21:15:26,1,,,,Roof Test,No,
2018.11.19 21:15:26,2018.11.19 21:15:26,4,33.42897,-111.82537,,,,,,,,,,,,,,,,,2018.11.19 21:15:26,,,,,,,
2018.11.19 21:15:26,2018.11.19 21:15:26,,,,,,,,,,,,,,,,,,,Hit,2018.11.19 21:15:26,1,No,No,,,No,
2018.11.19 21:30:00,2018.11.19 21:30:00,,,,,,,,,,,,,,,,,,37,,2018.11.19 21:45:26,1,,,,Roof Test,No,
2018.11.19 21:30:12,2018.11.19 21:30:00,,,,2018.11.19 21:30:12,Resolved QFP,33.384482,-111.811112,12S,3694206,424559,397,,1.5,0xC1282205,9,,,,,2018.11.19 21:45:26,1,,,,Roof Test,No,
