Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,700527A
Comment,
Iridium IMEI,300434062764910

Report Period Begins,2018.03.11 00:00:08
Report Period Ends,2018.11.17 16:01:19

Report File Number,1 of 1
File Coverage Begins,2018.03.11 00:00:08
File Coverage Ends,2018.11.17 16:01:19

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.03.11 00:00:08,2018.03.11 00:00:00,,,,2018.03.11 00:00:08,Resolved QFP,67.926921,-149.819208,6W,7537412,381806,653,,0.9,0x08055681,9,,,,,2018.03.13 00:00:55,1,,,,Primary,No,
2018.03.11 04:00:00,2018.03.11 04:00:00,,,,,,,,,,,,,,,,,,1,,2018.03.13 00:00:55,1,,,,Primary,No,
2018.03.11 04:00:07,2018.03.11 04:00:00,,,,2018.03.11 04:00:07,Resolved QFP,67.886770,-149.810040,6W,7532922,381987,605,,1.9,0x41242822,8,,,,,2018.03.13 00:00:55,1,,,,Primary,No,
2018.03.11 08:00:00,2018.03.11 08:00:00,,,,,,,,,,,,,,,,,,-1,,2018.03.13 00:00:55,1,,,,Primary,No,
2018.03.11 08:00:07,2018.03.11 08:00:00,,,,2018.03.11 08:00:07,Resolved QFP,67.893659,-149.827105,6W,7533722,381306,579,,1.6,0x16188110,8,,,,,2018.03.13 00:00:55,1,,,,Primary,No,
2018.03.11 09:10:00,2018.03.11 09:00:00,,,,,,,,,,,,,,,,,17,,,2018.03.13 00:00:55,1,,,,Primary,No,
2018.03.11 12:00:00,2018.03.11 12:00:00,,,,,,,,,,,,,,,,,,19,,2018.03.13 00:00:55,1,,,,Primary,No,
2018.03.11 12:00:07,2018.03.11 12:00:00,,,,2018.03.11 12:00:07,Resolved QFP,67.897799,-149.835296,6W,7534199,380983,560,,1.0,0x8C004680,7,,,,,2018.03.13 00:00:55,1,,,,Primary,No,
2018.03.11 16:00:00,2018.03.11 16:00:00,,,,,,,,,,,,,,,,,,5,,2018.03.13 00:00:55,1,,,,Primary,No,
2018.03.11 16:00:08,2018.03.11 16:00:00,,,,2018.03.11 16:00:08,Resolved QFP,67.894383,-149.823541,6W,7533796,381459,574,,1.3,0x41250825,9,,,,,2018.03.13 00:00:55,1,,,,Primary,No,
2018.03.11 20:00:00,2018.03.11 20:00:00,,,,,,,,,,,,,,,,,,25,,2018.03.13 00:00:55,1,,,,Primary,No,
2018.03.11 20:00:25,2018.03.11 20:00:00,,,,2018.03.11 20:00:25,Unresolved QFP,67.859558,-149.797410,6W,7529867,382380,-6,,25.5,0x10008102,4,,,,,2018.03.13 00:00:55,1,,,,Primary,No,
2018.03.12 00:00:00,2018.03.12 00:00:00,,,,,,,,,,,,,,,,,,12,,2018.03.13 00:00:55,1,,,,Primary,No,
