Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704756A
Comment,
Iridium IMEI,300434063248020

Report Period Begins,2018.11.28 18:30:00
Report Period Ends,2022.03.12 08:02:18

Report File Number,1 of 1
File Coverage Begins,2018.11.28 18:30:00
File Coverage Ends,2022.03.12 08:02:18

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.28 18:30:00,2018.11.28 18:30:00,,,,,,,,,,,,,,,,,,29,,2018.11.28 18:53:56,1,,,,Roof Test,No,
2018.11.28 18:30:10,2018.11.28 18:30:00,,,,2018.11.28 18:30:10,Resolved QFP,33.384345,-111.810996,12S,3694191,424569,402,,1.9,0xC0980200,6,,,,,2018.11.28 18:53:56,1,,,,Roof Test,No,
2018.11.28 18:45:00,2018.11.28 18:45:00,,,,,,,,,,,,,,,,,,33,,2018.11.28 18:53:56,1,,,,Roof Test,No,
2018.11.28 18:45:16,2018.11.28 18:45:00,,,,2018.11.28 18:45:16,Resolved QFP,33.384295,-111.810996,12S,3694185,424569,396,,1.3,0xC4980200,7,,,,,2018.11.28 18:53:56,1,,,,Roof Test,No,
2018.11.28 18:53:56,2018.11.28 18:53:56,6,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.28 18:53:56,,,,,,,
2018.11.28 18:53:56,2018.11.28 18:53:56,,,,,,,,,,,,,,,,,,,Hit,2018.11.28 18:53:56,1,No,No,,,No,
2018.11.28 19:00:00,2018.11.28 19:00:00,,,,,,,,,,,,,,,,,,35,,2018.11.28 19:23:53,1,,,,Roof Test,No,
2018.11.28 19:00:09,2018.11.28 19:00:00,,,,2018.11.28 19:00:09,Resolved QFP,33.384309,-111.811033,12S,3694187,424566,392,,0.9,0xC4980600,8,,,,,2018.11.28 19:23:53,1,,,,Roof Test,No,
2018.11.28 19:15:00,2018.11.28 19:15:00,,,,,,,,,,,,,,,,,,35,,2018.11.28 19:23:53,1,,,,Roof Test,No,
2018.11.28 19:15:14,2018.11.28 19:15:00,,,,2018.11.28 19:15:14,Resolved QFP,33.384321,-111.811128,12S,3694188,424557,386,,0.8,0xC4382681,11,,,,,2018.11.28 19:23:53,1,,,,Roof Test,No,
2018.11.28 19:23:53,2018.11.28 19:23:53,,,,,,,,,,,,,,,,,,,Hit,2018.11.28 19:23:53,1,No,No,,,No,
2018.11.28 19:23:53,2018.11.28 19:23:53,13,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.28 19:23:53,,,,,,,
2018.11.28 19:30:00,2018.11.28 19:30:00,,,,,,,,,,,,,,,,,,36,,2018.11.28 19:53:56,1,,,,Roof Test,No,
2018.11.28 19:30:11,2018.11.28 19:30:00,,,,2018.11.28 19:30:11,Resolved QFP,33.384384,-111.811054,12S,3694195,424564,375,,0.9,0xC4282681,10,,,,,2018.11.28 19:53:56,1,,,,Roof Test,No,
