Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704766A
Comment,
Iridium IMEI,300434063240630

Report Period Begins,2018.11.29 17:00:00
Report Period Ends,2018.11.29 19:29:38

Report File Number,1 of 1
File Coverage Begins,2018.11.29 17:00:00
File Coverage Ends,2018.11.29 19:29:38

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.29 17:00:00,2018.11.29 17:00:00,,,,,,,,,,,,,,,,,,23,,2018.11.29 17:29:36,1,,,,Roof Test,No,
2018.11.29 17:00:18,2018.11.29 17:00:00,,,,2018.11.29 17:00:18,Resolved QFP (Uncertain),33.384477,-111.811011,12S,3694205,424568,397,,1.5,0x90180280,6,,,,,2018.11.29 17:29:36,1,,,,Roof Test,No,
2018.11.29 17:15:00,2018.11.29 17:15:00,,,,,,,,,,,,,,,,,,25,,2018.11.29 17:29:36,1,,,,Roof Test,No,
2018.11.29 17:15:13,2018.11.29 17:15:00,,,,2018.11.29 17:15:13,Resolved QFP,33.384365,-111.811119,12S,3694193,424558,387,,2.0,0x84184280,7,,,,,2018.11.29 17:29:36,1,,,,Roof Test,No,
2018.11.29 17:29:36,2018.11.29 17:29:36,4,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.29 17:29:36,,,,,,,
2018.11.29 17:29:36,2018.11.29 17:29:36,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:29:36,1,No,No,,,No,
2018.11.29 17:30:00,2018.11.29 17:30:00,,,,,,,,,,,,,,,,,,26,,2018.11.29 17:59:40,1,,,,Roof Test,No,
2018.11.29 17:30:10,2018.11.29 17:30:00,,,,2018.11.29 17:30:10,Resolved QFP,33.384448,-111.811101,12S,3694202,424560,382,,1.7,0x84184280,7,,,,,2018.11.29 17:59:40,1,,,,Roof Test,No,
2018.11.29 17:45:00,2018.11.29 17:45:00,,,,,,,,,,,,,,,,,,30,,2018.11.29 17:59:40,1,,,,Roof Test,No,
2018.11.29 17:45:10,2018.11.29 17:45:00,,,,2018.11.29 17:45:10,Resolved QFP,33.384377,-111.811056,12S,3694194,424564,387,,1.3,0x84980280,7,,,,,2018.11.29 17:59:40,1,,,,Roof Test,No,
2018.11.29 17:59:40,2018.11.29 17:59:40,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:59:40,1,No,No,,,No,
2018.11.29 17:59:40,2018.11.29 17:59:40,3,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.29 17:59:40,,,,,,,
2018.11.29 18:00:00,2018.11.29 18:00:00,,,,,,,,,,,,,,,,,,29,,2018.11.29 18:29:38,1,,,,Roof Test,No,
2018.11.29 18:00:14,2018.11.29 18:00:00,,,,2018.11.29 18:00:14,Resolved QFP,33.384397,-111.811073,12S,3694196,424562,397,,1.3,0x84986200,8,,,,,2018.11.29 18:29:38,1,,,,Roof Test,No,
