Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,700519A
Comment,
Iridium IMEI,300434062295810

Report Period Begins,2018.03.26 20:06:00
Report Period Ends,2020.10.20 12:08:41

Report File Number,1 of 1
File Coverage Begins,2018.03.26 20:06:00
File Coverage Ends,2020.10.20 12:08:41

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.03.26 20:06:00,2018.03.26 20:06:00,,,,,,,,,,,,,,,,,,-7,,2018.03.26 20:11:12,1,,,,,Yes,
2018.03.26 20:06:55,2018.03.26 20:06:00,,,,2018.03.26 20:06:55,Succeeded,65.210093,-157.100825,4W,7233206,588844,,10.51,,,,,,,,2018.03.26 20:11:12,1,,,,,Yes,
2018.03.26 20:11:00,2018.03.26 20:06:00,,,,,,,,,,,,,,,,,69,,,2018.03.26 20:11:12,1,,,,,Yes,
2018.03.26 20:11:12,2018.03.26 20:11:12,3,65.22547,-157.14974,,,,,,,,,,,,,,,,,2018.03.26 20:11:12,,,,,,,
2018.03.26 20:11:12,2018.03.26 20:11:12,,,,,,,,,,,,,,,,,,,Hit,2018.03.26 20:11:12,1,,,,,Yes,
2018.03.27 00:00:00,2018.03.27 00:00:00,,,,,,,,,,,,,,,,,,31,,2018.03.28 20:00:32,1,,,,Primary,No,
2018.03.27 00:00:06,2018.03.27 00:00:00,,,,2018.03.27 00:00:06,Resolved QFP,65.210130,-157.101923,4W,7233209,588793,74,,1.0,0x08854E00,8,,,,,2018.03.28 20:00:32,1,,,,Primary,No,
2018.03.27 00:10:00,2018.03.27 00:00:00,,,,,,,,,,,,,,,,,29,,,2018.03.28 20:00:32,1,,,,Primary,No,
2018.03.27 04:00:00,2018.03.27 04:00:00,,,,,,,,,,,,,,,,,,32,,2018.03.28 20:00:32,1,,,,Primary,No,
2018.03.27 04:00:07,2018.03.27 04:00:00,,,,2018.03.27 04:00:07,Resolved QFP,65.210170,-157.101945,4W,7233213,588792,86,,1.4,0x51002822,7,,,,,2018.03.28 20:00:32,1,,,,Primary,No,
2018.03.27 08:00:00,2018.03.27 08:00:00,,,,,,,,,,,,,,,,,,32,,2018.03.28 20:00:32,1,,,,Primary,No,
2018.03.27 08:00:07,2018.03.27 08:00:00,,,,2018.03.27 08:00:07,Resolved QFP,65.210269,-157.101979,4W,7233224,588790,90,,1.5,0x1418C200,7,,,,,2018.03.28 20:00:32,1,,,,Primary,No,
2018.03.27 12:00:00,2018.03.27 12:00:00,,,,,,,,,,,,,,,,,,25,,2018.03.28 20:00:32,1,,,,Primary,No,
2018.03.27 12:00:08,2018.03.27 12:00:00,,,,2018.03.27 12:00:08,Resolved QFP,65.210177,-157.101978,4W,7233214,588790,86,,1.1,0x88222681,9,,,,,2018.03.28 20:00:32,1,,,,Primary,No,
