Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,700575A
Comment,
Iridium IMEI,300434062884980

Report Period Begins,2018.02.06 18:16:48
Report Period Ends,2019.02.26 20:00:54

Report File Number,1 of 1
File Coverage Begins,2018.02.06 18:16:48
File Coverage Ends,2019.02.26 20:00:54

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.02.06 18:16:48,2018.02.06 18:16:48,,,,,,,,,,,,,,,,,,9,,2018.02.06 18:22:01,1,,,,,Yes,
2018.02.06 18:17:38,2018.02.06 18:16:48,,,,2018.02.06 18:17:38,Succeeded,62.660729,-141.602637,7V,6947934,469122,,9.30,,,,,,,,2018.02.06 18:22:01,1,,,,,Yes,
2018.02.06 18:21:48,2018.02.06 18:16:48,,,,,,,,,,,,,,,,,14,,,2018.02.06 18:22:01,1,,,,,Yes,
2018.02.06 18:22:01,2018.02.06 18:22:01,,,,,,,,,,,,,,,,,,,Hit,2018.02.06 18:22:01,1,,,,,Yes,
2018.02.06 18:22:01,2018.02.06 18:22:01,3,62.68142,-141.64528,,,,,,,,,,,,,,,,,2018.02.06 18:22:01,,,,,,,
2018.02.07 02:10:00,2018.02.07 02:00:00,,,,,,,,,,,,,,,,,139,,,2018.02.14 06:22:44,1,,,,Primary,No,
2018.02.07 12:00:00,2018.02.07 12:00:00,,,,,,,,,,,,,,,,,,19,,2018.02.14 06:22:44,1,,,,Primary,No,
2018.02.07 12:00:10,2018.02.07 12:00:00,,,,2018.02.07 12:00:10,Resolved QFP,62.661891,-141.596007,7V,6948060,469462,639,,1.3,0x241852C0,9,,,,,2018.02.14 06:22:44,1,,,,Primary,No,
2018.02.08 03:10:00,2018.02.08 03:00:00,,,,,,,,,,,,,,,,,1,,,2018.02.14 06:22:44,1,,,,Primary,No,
2018.02.08 13:00:00,2018.02.08 13:00:00,,,,,,,,,,,,,,,,,,14,,2018.02.14 06:22:44,1,,,,Primary,No,
2018.02.08 13:00:14,2018.02.08 13:00:00,,,,2018.02.08 13:00:14,Resolved QFP (Uncertain),62.675969,-141.614648,7V,6949637,468522,621,,1.4,0x0418C280,7,,,,,2018.02.14 06:22:44,1,,,,Primary,No,
2018.02.09 04:10:00,2018.02.09 04:00:00,,,,,,,,,,,,,,,,,8,,,2018.02.14 06:22:44,1,,,,Primary,No,
2018.02.09 14:00:00,2018.02.09 14:00:00,,,,,,,,,,,,,,,,,,7,,2018.02.14 06:22:44,1,,,,Primary,No,
2018.02.09 14:00:07,2018.02.09 14:00:00,,,,2018.02.09 14:00:07,Resolved QFP,62.681935,-141.618401,7V,6950304,468336,672,,1.0,0x8C804680,8,,,,,2018.02.14 06:22:44,1,,,,Primary,No,
