Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,700553A
Comment,
Iridium IMEI,300434062299800

Report Period Begins,2018.03.22 17:17:56
Report Period Ends,2021.03.19 00:01:41

Report File Number,1 of 1
File Coverage Begins,2018.03.22 17:17:56
File Coverage Ends,2021.03.19 00:01:41

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.03.22 17:17:56,2018.03.22 17:17:56,,,,,,,,,,,,,,,,,,-9,,2018.03.22 21:23:24,1,,,,,Yes,
2018.03.22 17:20:38,2018.03.22 17:17:56,,,,2018.03.22 17:20:38,Succeeded,66.340018,-146.243654,6W,7358015,533870,,26.07,,,,,,,,2018.03.22 21:23:24,1,,,,,Yes,
2018.03.22 17:22:56,2018.03.22 17:17:56,,,,,,,,,,,,,,,,,71,,,2018.03.22 21:23:24,1,,,,,Yes,
2018.03.22 20:00:00,2018.03.22 20:00:00,,,,,,,,,,,,,,,,,,20,,2018.03.25 00:00:55,1,,,,Primary,No,
2018.03.22 20:00:07,2018.03.22 20:00:00,,,,2018.03.22 20:00:07,Resolved QFP,66.341890,-146.239739,6W,7358226,534042,136,,1.0,0x0C1881C0,8,,,,,2018.03.25 00:00:55,1,,,,Primary,No,
2018.03.22 20:10:00,2018.03.22 20:00:00,,,,,,,,,,,,,,,,,0,,,2018.03.25 00:00:55,1,,,,Primary,No,
2018.03.22 21:23:24,2018.03.22 21:23:24,,,,,,,,,,,,,,,,,,,Hit,2018.03.22 21:23:24,1,,,,,Yes,
2018.03.22 21:23:24,2018.03.22 21:23:24,7,66.39456,-146.21063,,,,,,,,,,,,,,,,,2018.03.22 21:23:24,,,,,,,
2018.03.23 00:00:00,2018.03.23 00:00:00,,,,,,,,,,,,,,,,,,7,,2018.03.25 00:00:55,1,,,,Primary,No,
2018.03.23 00:00:08,2018.03.23 00:00:00,,,,2018.03.23 00:00:08,Resolved QFP (Uncertain),66.348116,-146.270419,6W,7358903,532661,120,,1.3,0x08854401,7,,,,,2018.03.25 00:00:55,1,,,,Primary,No,
2018.03.23 04:00:00,2018.03.23 04:00:00,,,,,,,,,,,,,,,,,,7,,2018.03.25 00:00:55,1,,,,Primary,No,
2018.03.23 04:00:10,2018.03.23 04:00:00,,,,2018.03.23 04:00:10,Resolved QFP,66.373025,-146.319836,6W,7361655,530418,123,,1.4,0x51002822,7,,,,,2018.03.25 00:00:55,1,,,,Primary,No,
2018.03.23 08:00:00,2018.03.23 08:00:00,,,,,,,,,,,,,,,,,,12,,2018.03.25 00:00:55,1,,,,Primary,No,
2018.03.23 08:00:10,2018.03.23 08:00:00,,,,2018.03.23 08:00:10,Resolved QFP,66.368880,-146.338603,6W,7361184,529584,124,,3.3,0x24188050,7,,,,,2018.03.25 00:00:55,1,,,,Primary,No,
