Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704526A
Comment,
Iridium IMEI,300434063157290

Report Period Begins,2018.11.13 13:00:00
Report Period Ends,2020.01.29 20:00:28

Report File Number,1 of 1
File Coverage Begins,2018.11.13 13:00:00
File Coverage Ends,2020.01.29 20:00:28

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.13 13:00:00,2018.11.13 13:00:00,,,,,,,,,,,,,,,,,,12,,2018.11.13 13:18:44,1,,,,Roof Test,No,
2018.11.13 13:00:17,2018.11.13 13:00:00,,,,2018.11.13 13:00:17,Resolved QFP,33.384672,-111.811082,12S,3694227,424562,408,,2.7,0x51000830,6,,,,,2018.11.13 13:18:44,1,,,,Roof Test,No,
2018.11.13 13:15:00,2018.11.13 13:15:00,,,,,,,,,,,,,,,,,,8,,2018.11.13 13:18:44,1,,,,Roof Test,No,
2018.11.13 13:15:14,2018.11.13 13:15:00,,,,2018.11.13 13:15:14,Resolved QFP,33.384485,-111.811169,12S,3694206,424553,400,,1.4,0x51100832,8,,,,,2018.11.13 13:18:44,1,,,,Roof Test,No,
2018.11.13 13:18:44,2018.11.13 13:18:44,4,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.13 13:18:44,,,,,,,
2018.11.13 13:18:44,2018.11.13 13:18:44,,,,,,,,,,,,,,,,,,,Hit,2018.11.13 13:18:44,1,No,No,,,No,
2018.11.13 13:30:00,2018.11.13 13:30:00,,,,,,,,,,,,,,,,,,6,,2018.11.13 13:48:42,1,,,,Roof Test,No,
2018.11.13 13:30:12,2018.11.13 13:30:00,,,,2018.11.13 13:30:12,Resolved QFP,33.384410,-111.811158,12S,3694198,424554,401,,0.9,0x51105812,9,,,,,2018.11.13 13:48:42,1,,,,Roof Test,No,
2018.11.13 13:45:00,2018.11.13 13:45:00,,,,,,,,,,,,,,,,,,5,,2018.11.13 13:48:42,1,,,,Roof Test,No,
2018.11.13 13:45:11,2018.11.13 13:45:00,,,,2018.11.13 13:45:11,Resolved QFP,33.384340,-111.811161,12S,3694190,424554,407,,1.2,0x51105810,8,,,,,2018.11.13 13:48:42,1,,,,Roof Test,No,
2018.11.13 13:48:42,2018.11.13 13:48:42,4,33.30172,-111.79342,,,,,,,,,,,,,,,,,2018.11.13 13:48:42,,,,,,,
2018.11.13 13:48:42,2018.11.13 13:48:42,,,,,,,,,,,,,,,,,,,Hit,2018.11.13 13:48:42,1,No,No,,,No,
2018.11.13 14:00:00,2018.11.13 14:00:00,,,,,,,,,,,,,,,,,,5,,2018.11.13 14:18:46,1,,,,Roof Test,No,
2018.11.13 14:00:12,2018.11.13 14:00:00,,,,2018.11.13 14:00:12,Resolved QFP,33.384347,-111.811124,12S,3694191,424557,389,,1.2,0x13105810,8,,,,,2018.11.13 14:18:46,1,,,,Roof Test,No,
