Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704552A
Comment,
Iridium IMEI,300434063835520

Report Period Begins,2018.11.13 12:45:00
Report Period Ends,2018.11.13 15:24:44

Report File Number,1 of 1
File Coverage Begins,2018.11.13 12:45:00
File Coverage Ends,2018.11.13 15:24:44

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.13 12:45:00,2018.11.13 12:45:00,,,,,,,,,,,,,,,,,,22,,2018.11.13 13:14:41,1,,,,Roof Test,No,
2018.11.13 12:45:16,2018.11.13 12:45:00,,,,2018.11.13 12:45:16,Resolved QFP,33.384701,-111.811195,12S,3694230,424551,385,,1.0,0x51840832,9,,,,,2018.11.13 13:14:41,1,,,,Roof Test,No,
2018.11.13 13:00:00,2018.11.13 13:00:00,,,,,,,,,,,,,,,,,,12,,2018.11.13 13:14:41,1,,,,Roof Test,No,
2018.11.13 13:00:11,2018.11.13 13:00:00,,,,2018.11.13 13:00:11,Resolved QFP,33.384673,-111.811249,12S,3694227,424546,395,,1.1,0x11940832,9,,,,,2018.11.13 13:14:41,1,,,,Roof Test,No,
2018.11.13 13:14:41,2018.11.13 13:14:41,19,33.39145,-111.86532,,,,,,,,,,,,,,,,,2018.11.13 13:14:41,,,,,,,
2018.11.13 13:14:41,2018.11.13 13:14:41,,,,,,,,,,,,,,,,,,,Hit,2018.11.13 13:14:41,1,No,No,,,No,
2018.11.13 13:15:00,2018.11.13 13:15:00,,,,,,,,,,,,,,,,,,8,,2018.11.13 13:44:42,1,,,,Roof Test,No,
2018.11.13 13:15:12,2018.11.13 13:15:00,,,,2018.11.13 13:15:12,Resolved QFP,33.384633,-111.811187,12S,3694223,424552,461,,1.8,0x51000832,7,,,,,2018.11.13 13:44:42,1,,,,Roof Test,No,
2018.11.13 13:30:00,2018.11.13 13:30:00,,,,,,,,,,,,,,,,,,7,,2018.11.13 13:44:42,1,,,,Roof Test,No,
2018.11.13 13:30:16,2018.11.13 13:30:00,,,,2018.11.13 13:30:16,Resolved QFP,33.384684,-111.811246,12S,3694228,424546,374,,2.6,0x11005810,6,,,,,2018.11.13 13:44:42,1,,,,Roof Test,No,
2018.11.13 13:44:42,2018.11.13 13:44:42,3,33.35027,-111.80938,,,,,,,,,,,,,,,,,2018.11.13 13:44:42,,,,,,,
2018.11.13 13:44:42,2018.11.13 13:44:42,,,,,,,,,,,,,,,,,,,Hit,2018.11.13 13:44:42,1,No,No,,,No,
2018.11.13 13:45:00,2018.11.13 13:45:00,,,,,,,,,,,,,,,,,,6,,2018.11.13 14:14:50,1,,,,Roof Test,No,
2018.11.13 13:45:13,2018.11.13 13:45:00,,,,2018.11.13 13:45:13,Resolved QFP,33.384451,-111.811140,12S,3694202,424556,415,,1.0,0x51005812,8,,,,,2018.11.13 14:14:50,1,,,,Roof Test,No,
