Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704807A
Comment,
Iridium IMEI,300434063155280

Report Period Begins,2018.11.19 23:30:00
Report Period Ends,2024.03.21 00:00:23

Report File Number,1 of 1
File Coverage Begins,2018.11.19 23:30:00
File Coverage Ends,2024.03.21 00:00:23

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.19 23:30:00,2018.11.19 23:30:00,,,,,,,,,,,,,,,,,,26,,2018.11.19 23:50:04,1,,,,Roof Test,No,
2018.11.19 23:30:10,2018.11.19 23:30:00,,,,2018.11.19 23:30:10,Resolved QFP,33.384250,-111.811311,12S,3694180,424540,394,,0.8,0xC260A505,11,,,,,2018.11.19 23:50:04,1,,,,Roof Test,No,
2018.11.19 23:45:00,2018.11.19 23:45:00,,,,,,,,,,,,,,,,,,24,,2018.11.19 23:50:04,1,,,,Roof Test,No,
2018.11.19 23:45:10,2018.11.19 23:45:00,,,,2018.11.19 23:45:10,Resolved QFP,33.384233,-111.811334,12S,3694178,424538,387,,1.3,0x0260A105,8,,,,,2018.11.19 23:50:04,1,,,,Roof Test,No,
2018.11.19 23:50:04,2018.11.19 23:50:04,,,,,,,,,,,,,,,,,,,Hit,2018.11.19 23:50:04,1,No,No,,,No,
2018.11.19 23:50:04,2018.11.19 23:50:04,7,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.19 23:50:04,,,,,,,
2018.11.20 00:00:00,2018.11.20 00:00:00,,,,,,,,,,,,,,,,,,23,,2018.11.20 00:20:07,1,,,,Roof Test,No,
2018.11.20 00:00:10,2018.11.20 00:00:00,,,,2018.11.20 00:00:10,Resolved QFP,33.384270,-111.811313,12S,3694182,424540,401,,0.9,0x4260A165,11,,,,,2018.11.20 00:20:07,1,,,,Roof Test,No,
2018.11.20 00:15:00,2018.11.20 00:15:00,,,,,,,,,,,,,,,,,,22,,2018.11.20 00:20:07,1,,,,Roof Test,No,
2018.11.20 00:15:09,2018.11.20 00:15:00,,,,2018.11.20 00:15:09,Resolved QFP,33.384207,-111.811302,12S,3694175,424541,388,,1.6,0x42608124,8,,,,,2018.11.20 00:20:07,1,,,,Roof Test,No,
2018.11.20 00:20:07,2018.11.20 00:20:07,5,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.20 00:20:07,,,,,,,
2018.11.20 00:20:07,2018.11.20 00:20:07,,,,,,,,,,,,,,,,,,,Hit,2018.11.20 00:20:07,1,No,No,,,No,
2018.11.20 00:30:00,2018.11.20 00:30:00,,,,,,,,,,,,,,,,,,20,,2018.11.20 00:50:06,1,,,,Roof Test,No,
2018.11.20 00:30:10,2018.11.20 00:30:00,,,,2018.11.20 00:30:10,Resolved QFP,33.384369,-111.811258,12S,3694193,424545,419,,0.9,0x46608164,10,,,,,2018.11.20 00:50:06,1,,,,Roof Test,No,
