Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704708A
Comment,
Iridium IMEI,300434063249850

Report Period Begins,2018.11.26 17:45:00
Report Period Ends,2023.08.14 14:33:12

Report File Number,1 of 1
File Coverage Begins,2018.11.26 17:45:00
File Coverage Ends,2023.08.14 14:33:12

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.26 17:45:00,2018.11.26 17:45:00,,,,,,,,,,,,,,,,,,25,,2018.11.26 18:09:58,1,,,,Roof Test,No,
2018.11.26 17:45:28,2018.11.26 17:45:00,,,,2018.11.26 17:45:28,Resolved QFP,33.384342,-111.811127,12S,3694190,424557,373,,1.3,0x84184280,7,,,,,2018.11.26 18:09:58,1,,,,Roof Test,No,
2018.11.26 18:00:00,2018.11.26 18:00:00,,,,,,,,,,,,,,,,,,29,,2018.11.26 18:09:58,1,,,,Roof Test,No,
2018.11.26 18:00:10,2018.11.26 18:00:00,,,,2018.11.26 18:00:10,Resolved QFP,33.384487,-111.811129,12S,3694206,424557,389,,1.4,0x84980280,7,,,,,2018.11.26 18:09:58,1,,,,Roof Test,No,
2018.11.26 18:09:58,2018.11.26 18:09:58,4,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.26 18:09:58,,,,,,,
2018.11.26 18:09:58,2018.11.26 18:09:58,,,,,,,,,,,,,,,,,,,Hit,2018.11.26 18:09:58,1,No,No,,,No,
2018.11.26 18:15:00,2018.11.26 18:15:00,,,,,,,,,,,,,,,,,,29,,2018.11.26 18:39:54,1,,,,Roof Test,No,
2018.11.26 18:15:18,2018.11.26 18:15:00,,,,2018.11.26 18:15:18,Resolved QFP,33.384434,-111.811144,12S,3694201,424556,387,,1.1,0x84986280,9,,,,,2018.11.26 18:39:54,1,,,,Roof Test,No,
2018.11.26 18:30:00,2018.11.26 18:30:00,,,,,,,,,,,,,,,,,,31,,2018.11.26 18:39:54,1,,,,Roof Test,No,
2018.11.26 18:30:15,2018.11.26 18:30:00,,,,2018.11.26 18:30:15,Resolved QFP,33.384414,-111.811165,12S,3694198,424554,390,,1.2,0xC4980200,7,,,,,2018.11.26 18:39:54,1,,,,Roof Test,No,
2018.11.26 18:39:54,2018.11.26 18:39:54,6,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.26 18:39:54,,,,,,,
2018.11.26 18:39:54,2018.11.26 18:39:54,,,,,,,,,,,,,,,,,,,Hit,2018.11.26 18:39:54,1,No,No,,,No,
2018.11.26 18:45:00,2018.11.26 18:45:00,,,,,,,,,,,,,,,,,,32,,2018.11.26 19:09:52,1,,,,Roof Test,No,
2018.11.26 18:45:10,2018.11.26 18:45:00,,,,2018.11.26 18:45:10,Resolved QFP,33.384455,-111.811058,12S,3694203,424564,376,,1.0,0xC4980280,8,,,,,2018.11.26 19:09:52,1,,,,Roof Test,No,
