Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704782A
Comment,
Iridium IMEI,300434063152000

Report Period Begins,2018.11.29 17:00:00
Report Period Ends,2024.08.01 08:00:58

Report File Number,1 of 1
File Coverage Begins,2018.11.29 17:00:00
File Coverage Ends,2024.08.01 08:00:58

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.29 17:00:00,2018.11.29 17:00:00,,,,,,,,,,,,,,,,,,23,,2018.11.29 17:28:45,1,,,,Roof Test,No,
2018.11.29 17:00:13,2018.11.29 17:00:00,,,,2018.11.29 17:00:13,Resolved QFP,33.384420,-111.811058,12S,3694199,424564,399,,1.1,0x14986280,9,,,,,2018.11.29 17:28:45,1,,,,Roof Test,No,
2018.11.29 17:15:00,2018.11.29 17:15:00,,,,,,,,,,,,,,,,,,24,,2018.11.29 17:28:45,1,,,,Roof Test,No,
2018.11.29 17:15:12,2018.11.29 17:15:00,,,,2018.11.29 17:15:12,Resolved QFP,33.384382,-111.811073,12S,3694195,424562,397,,1.9,0x84980280,7,,,,,2018.11.29 17:28:45,1,,,,Roof Test,No,
2018.11.29 17:28:45,2018.11.29 17:28:45,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:28:45,1,No,No,,,No,
2018.11.29 17:28:45,2018.11.29 17:28:45,3,33.42897,-111.82537,,,,,,,,,,,,,,,,,2018.11.29 17:28:45,,,,,,,
2018.11.29 17:30:00,2018.11.29 17:30:00,,,,,,,,,,,,,,,,,,26,,2018.11.29 17:58:47,1,,,,Roof Test,No,
2018.11.29 17:30:13,2018.11.29 17:30:00,,,,2018.11.29 17:30:13,Resolved QFP,33.384471,-111.811143,12S,3694205,424556,383,,1.4,0x84984280,8,,,,,2018.11.29 17:58:47,1,,,,Roof Test,No,
2018.11.29 17:45:00,2018.11.29 17:45:00,,,,,,,,,,,,,,,,,,30,,2018.11.29 17:58:47,1,,,,Roof Test,No,
2018.11.29 17:45:10,2018.11.29 17:45:00,,,,2018.11.29 17:45:10,Resolved QFP,33.384423,-111.810945,12S,3694199,424574,345,,1.7,0x84180280,6,,,,,2018.11.29 17:58:47,1,,,,Roof Test,No,
2018.11.29 17:58:47,2018.11.29 17:58:47,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:58:47,1,No,No,,,No,
2018.11.29 17:58:47,2018.11.29 17:58:47,6,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.29 17:58:47,,,,,,,
2018.11.29 18:00:00,2018.11.29 18:00:00,,,,,,,,,,,,,,,,,,29,,2018.11.29 18:28:46,1,,,,Roof Test,No,
2018.11.29 18:15:00,2018.11.29 18:15:00,,,,,,,,,,,,,,,,,,26,,2018.11.29 18:28:46,1,,,,Roof Test,No,
