Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704715A
Comment,
Iridium IMEI,300434063148950

Report Period Begins,2018.11.26 17:45:00
Report Period Ends,2020.12.15 00:00:47

Report File Number,1 of 1
File Coverage Begins,2018.11.26 17:45:00
File Coverage Ends,2020.12.15 00:00:47

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.26 17:45:00,2018.11.26 17:45:00,,,,,,,,,,,,,,,,,,25,,2018.11.26 18:08:37,1,,,,Roof Test,No,
2018.11.26 17:45:10,2018.11.26 17:45:00,,,,2018.11.26 17:45:10,Resolved QFP,33.384410,-111.811117,12S,3694198,424558,383,,1.6,0x84184280,7,,,,,2018.11.26 18:08:37,1,,,,Roof Test,No,
2018.11.26 18:00:00,2018.11.26 18:00:00,,,,,,,,,,,,,,,,,,29,,2018.11.26 18:08:37,1,,,,Roof Test,No,
2018.11.26 18:00:09,2018.11.26 18:00:00,,,,2018.11.26 18:00:09,Resolved QFP,33.384421,-111.811101,12S,3694199,424560,392,,1.4,0x84980280,7,,,,,2018.11.26 18:08:37,1,,,,Roof Test,No,
2018.11.26 18:08:37,2018.11.26 18:08:37,8,33.42897,-111.82537,,,,,,,,,,,,,,,,,2018.11.26 18:08:37,,,,,,,
2018.11.26 18:08:37,2018.11.26 18:08:37,,,,,,,,,,,,,,,,,,,Hit,2018.11.26 18:08:37,1,No,No,,,No,
2018.11.26 18:15:00,2018.11.26 18:15:00,,,,,,,,,,,,,,,,,,29,,2018.11.26 18:38:37,1,,,,Roof Test,No,
2018.11.26 18:15:12,2018.11.26 18:15:00,,,,2018.11.26 18:15:12,Resolved QFP,33.384433,-111.811113,12S,3694200,424559,399,,1.1,0x84986280,9,,,,,2018.11.26 18:38:37,1,,,,Roof Test,No,
2018.11.26 18:30:00,2018.11.26 18:30:00,,,,,,,,,,,,,,,,,,31,,2018.11.26 18:38:37,1,,,,Roof Test,No,
2018.11.26 18:30:11,2018.11.26 18:30:00,,,,2018.11.26 18:30:11,Resolved QFP (Uncertain),33.384463,-111.811133,12S,3694204,424557,391,,2.3,0xC0880280,6,,,,,2018.11.26 18:38:37,1,,,,Roof Test,No,
2018.11.26 18:38:37,2018.11.26 18:38:37,,,,,,,,,,,,,,,,,,,Hit,2018.11.26 18:38:37,1,No,No,,,No,
2018.11.26 18:38:37,2018.11.26 18:38:37,4,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.26 18:38:37,,,,,,,
2018.11.26 18:45:00,2018.11.26 18:45:00,,,,,,,,,,,,,,,,,,32,,2018.11.26 19:08:40,1,,,,Roof Test,No,
2018.11.26 18:45:12,2018.11.26 18:45:00,,,,2018.11.26 18:45:12,Resolved QFP,33.384420,-111.810934,12S,3694199,424575,386,,0.9,0xC4982600,9,,,,,2018.11.26 19:08:40,1,,,,Roof Test,No,
