Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,700552A
Comment,
Iridium IMEI,300434062293800

Report Period Begins,2018.03.17 23:21:02
Report Period Ends,2018.09.13 16:31:28

Report File Number,1 of 1
File Coverage Begins,2018.03.17 23:21:02
File Coverage Ends,2018.09.13 16:31:28

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.03.17 23:21:02,2018.03.17 23:21:02,,,,,,,,,,,,,,,,,,-1,,2018.03.18 11:27:25,1,,,,,Yes,
2018.03.17 23:24:30,2018.03.17 23:21:02,,,,2018.03.17 23:24:30,Succeeded,66.354661,-146.188009,6W,7359678,536340,,10.72,,,,,,,,2018.03.18 11:27:25,1,,,,,Yes,
2018.03.17 23:26:02,2018.03.17 23:21:02,,,,,,,,,,,,,,,,,71,,,2018.03.18 11:27:25,1,,,,,Yes,
2018.03.18 00:00:00,2018.03.18 00:00:00,,,,,,,,,,,,,,,,,,16,,2018.03.19 16:00:18,1,,,,Primary,No,
2018.03.18 00:00:07,2018.03.18 00:00:00,,,,2018.03.18 00:00:07,Resolved QFP,66.354636,-146.188041,6W,7359676,536339,134,,1.4,0x08054601,7,,,,,2018.03.19 16:00:18,1,,,,Primary,No,
2018.03.18 04:00:00,2018.03.18 04:00:00,,,,,,,,,,,,,,,,,,14,,2018.03.19 16:00:18,1,,,,Primary,No,
2018.03.18 04:00:10,2018.03.18 04:00:00,,,,2018.03.18 04:00:10,Resolved QFP,66.365808,-146.206003,6W,7360910,535519,136,,1.2,0x51440822,8,,,,,2018.03.19 16:00:18,1,,,,Primary,No,
2018.03.18 08:00:00,2018.03.18 08:00:00,,,,,,,,,,,,,,,,,,15,,2018.03.19 16:00:18,1,,,,Primary,No,
2018.03.18 08:00:08,2018.03.18 08:00:00,,,,2018.03.18 08:00:08,Resolved QFP,66.365682,-146.206381,6W,7360896,535502,133,,1.3,0x16189050,9,,,,,2018.03.19 16:00:18,1,,,,Primary,No,
2018.03.18 11:27:25,2018.03.18 11:27:25,,,,,,,,,,,,,,,,,,,Hit,2018.03.18 11:27:25,1,,,,,Yes,
2018.03.18 11:27:25,2018.03.18 11:27:25,2,66.39456,-146.21063,,,,,,,,,,,,,,,,,2018.03.18 11:27:25,,,,,,,
2018.03.18 12:00:00,2018.03.18 12:00:00,,,,,,,,,,,,,,,,,,16,,2018.03.19 16:00:18,1,,,,Primary,No,
2018.03.18 12:00:08,2018.03.18 12:00:00,,,,2018.03.18 12:00:08,Resolved QFP,66.366128,-146.207566,6W,7360945,535449,144,,1.0,0x8CA00681,9,,,,,2018.03.19 16:00:18,1,,,,Primary,No,
2018.03.18 16:00:00,2018.03.18 16:00:00,,,,,,,,,,,,,,,,,,-6,,2018.03.19 16:00:18,1,,,,Primary,No,
