Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704546A
Comment,
Iridium IMEI,300434063838520

Report Period Begins,2018.11.13 12:45:00
Report Period Ends,2018.11.13 15:20:28

Report File Number,1 of 1
File Coverage Begins,2018.11.13 12:45:00
File Coverage Ends,2018.11.13 15:20:28

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.13 12:45:00,2018.11.13 12:45:00,,,,,,,,,,,,,,,,,,18,,2018.11.13 13:10:27,1,,,,Roof Test,No,
2018.11.13 12:45:10,2018.11.13 12:45:00,,,,2018.11.13 12:45:10,Resolved QFP,33.384922,-111.810973,12S,3694255,424572,403,,2.1,0x51000832,7,,,,,2018.11.13 13:10:27,1,,,,Roof Test,No,
2018.11.13 13:00:00,2018.11.13 13:00:00,,,,,,,,,,,,,,,,,,11,,2018.11.13 13:10:27,1,,,,Roof Test,No,
2018.11.13 13:00:12,2018.11.13 13:00:00,,,,2018.11.13 13:00:12,Resolved QFP,33.384694,-111.811262,12S,3694229,424545,423,,1.7,0x51000832,7,,,,,2018.11.13 13:10:27,1,,,,Roof Test,No,
2018.11.13 13:10:27,2018.11.13 13:10:27,,,,,,,,,,,,,,,,,,,Hit,2018.11.13 13:10:27,1,No,No,,,No,
2018.11.13 13:15:00,2018.11.13 13:15:00,,,,,,,,,,,,,,,,,,8,,2018.11.13 13:40:27,1,,,,Roof Test,No,
2018.11.13 13:15:17,2018.11.13 13:15:00,,,,2018.11.13 13:15:17,Resolved QFP (Uncertain),33.384528,-111.811164,12S,3694211,424554,385,,1.6,0x51100812,7,,,,,2018.11.13 13:40:27,1,,,,Roof Test,No,
2018.11.13 13:30:00,2018.11.13 13:30:00,,,,,,,,,,,,,,,,,,7,,2018.11.13 13:40:27,1,,,,Roof Test,No,
2018.11.13 13:30:12,2018.11.13 13:30:00,,,,2018.11.13 13:30:12,Resolved QFP,33.384566,-111.811198,12S,3694215,424551,399,,0.9,0x51105812,9,,,,,2018.11.13 13:40:27,1,,,,Roof Test,No,
2018.11.13 13:40:27,2018.11.13 13:40:27,6,33.30172,-111.79342,,,,,,,,,,,,,,,,,2018.11.13 13:40:27,,,,,,,
2018.11.13 13:40:27,2018.11.13 13:40:27,,,,,,,,,,,,,,,,,,,Hit,2018.11.13 13:40:27,1,No,No,,,No,
2018.11.13 13:45:00,2018.11.13 13:45:00,,,,,,,,,,,,,,,,,,6,,2018.11.13 14:10:29,1,,,,Roof Test,No,
2018.11.13 13:45:11,2018.11.13 13:45:00,,,,2018.11.13 13:45:11,Resolved QFP,33.384499,-111.811144,12S,3694208,424556,392,,0.9,0x51105812,9,,,,,2018.11.13 14:10:29,1,,,,Roof Test,No,
2018.11.13 14:00:00,2018.11.13 14:00:00,,,,,,,,,,,,,,,,,,6,,2018.11.13 14:10:29,1,,,,Roof Test,No,
