Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704761A
Comment,
Iridium IMEI,300434063157330

Report Period Begins,2018.11.29 17:15:00
Report Period Ends,2018.11.29 19:32:06

Report File Number,1 of 1
File Coverage Begins,2018.11.29 17:15:00
File Coverage Ends,2018.11.29 19:32:06

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.29 17:15:00,2018.11.29 17:15:00,,,,,,,,,,,,,,,,,,24,,2018.11.29 17:32:03,1,,,,Roof Test,No,
2018.11.29 17:15:13,2018.11.29 17:15:00,,,,2018.11.29 17:15:13,Resolved QFP,33.384453,-111.811081,12S,3694203,424561,388,,2.5,0x04980280,6,,,,,2018.11.29 17:32:03,1,,,,Roof Test,No,
2018.11.29 17:30:00,2018.11.29 17:30:00,,,,,,,,,,,,,,,,,,25,,2018.11.29 17:32:03,1,,,,Roof Test,No,
2018.11.29 17:30:14,2018.11.29 17:30:00,,,,2018.11.29 17:30:14,Resolved QFP,33.384412,-111.811104,12S,3694198,424559,361,,1.5,0x84980280,7,,,,,2018.11.29 17:32:03,1,,,,Roof Test,No,
2018.11.29 17:32:03,2018.11.29 17:32:03,12,33.42157,-111.86532,,,,,,,,,,,,,,,,,2018.11.29 17:32:03,,,,,,,
2018.11.29 17:32:03,2018.11.29 17:32:03,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:32:03,1,No,No,,,No,
2018.11.29 17:45:00,2018.11.29 17:45:00,,,,,,,,,,,,,,,,,,29,,2018.11.29 18:02:02,1,,,,Roof Test,No,
2018.11.29 17:45:11,2018.11.29 17:45:00,,,,2018.11.29 17:45:11,Resolved QFP,33.384371,-111.811081,12S,3694193,424561,381,,1.2,0x04982280,7,,,,,2018.11.29 18:02:02,1,,,,Roof Test,No,
2018.11.29 18:00:00,2018.11.29 18:00:00,,,,,,,,,,,,,,,,,,28,,2018.11.29 18:02:02,1,,,,Roof Test,No,
2018.11.29 18:00:08,2018.11.29 18:00:00,,,,2018.11.29 18:00:08,Resolved QFP,33.384393,-111.811127,12S,3694196,424557,391,,2.5,0x04980280,6,,,,,2018.11.29 18:02:02,1,,,,Roof Test,No,
2018.11.29 18:02:02,2018.11.29 18:02:02,3,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.29 18:02:02,,,,,,,
2018.11.29 18:02:02,2018.11.29 18:02:02,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 18:02:02,1,No,No,,,No,
2018.11.29 18:15:00,2018.11.29 18:15:00,,,,,,,,,,,,,,,,,,26,,2018.11.29 18:32:07,1,,,,Roof Test,No,
2018.11.29 18:15:11,2018.11.29 18:15:00,,,,2018.11.29 18:15:11,Resolved QFP,33.384378,-111.811152,12S,3694194,424555,398,,1.0,0xC4982280,9,,,,,2018.11.29 18:32:07,1,,,,Roof Test,No,
