Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704712A
Comment,
Iridium IMEI,300434063149930

Report Period Begins,2018.11.26 17:45:00
Report Period Ends,2022.06.01 16:00:33

Report File Number,1 of 1
File Coverage Begins,2018.11.26 17:45:00
File Coverage Ends,2022.06.01 16:00:33

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.26 17:45:00,2018.11.26 17:45:00,,,,,,,,,,,,,,,,,,26,,2018.11.26 20:21:06,1,,,,Roof Test,No,
2018.11.26 17:45:10,2018.11.26 17:45:00,,,,2018.11.26 17:45:10,Resolved QFP,33.384401,-111.811120,12S,3694197,424558,387,,1.5,0x84980200,6,,,,,2018.11.26 20:21:06,1,,,,Roof Test,No,
2018.11.26 18:00:00,2018.11.26 18:00:00,,,,,,,,,,,,,,,,,,30,,2018.11.26 20:21:06,1,,,,Roof Test,No,
2018.11.26 18:00:11,2018.11.26 18:00:00,,,,2018.11.26 18:00:11,Resolved QFP,33.384360,-111.811179,12S,3694192,424552,384,,1.3,0x84984280,8,,,,,2018.11.26 20:21:06,1,,,,Roof Test,No,
2018.11.26 18:15:00,2018.11.26 18:15:00,,,,,,,,,,,,,,,,,,30,,2018.11.26 20:20:57,1,,,,Roof Test,No,
2018.11.26 18:15:09,2018.11.26 18:15:00,,,,2018.11.26 18:15:09,Resolved QFP,33.384416,-111.811052,12S,3694198,424564,388,,2.3,0x80980280,6,,,,,2018.11.26 20:20:57,1,,,,Roof Test,No,
2018.11.26 18:30:00,2018.11.26 18:30:00,,,,,,,,,,,,,,,,,,31,,2018.11.26 20:20:57,1,,,,Roof Test,No,
2018.11.26 18:30:10,2018.11.26 18:30:00,,,,2018.11.26 18:30:10,Resolved QFP,33.384436,-111.811146,12S,3694201,424555,390,,1.2,0xC4980200,7,,,,,2018.11.26 20:20:57,1,,,,Roof Test,No,
2018.11.26 18:45:00,2018.11.26 18:45:00,,,,,,,,,,,,,,,,,,32,,2018.11.26 19:10:53,1,,,,Roof Test,No,
2018.11.26 18:45:10,2018.11.26 18:45:00,,,,2018.11.26 18:45:10,Resolved QFP,33.384424,-111.811009,12S,3694199,424568,396,,0.9,0xC0980680,8,,,,,2018.11.26 19:10:53,1,,,,Roof Test,No,
2018.11.26 19:00:00,2018.11.26 19:00:00,,,,,,,,,,,,,,,,,,33,,2018.11.26 19:10:53,1,,,,Roof Test,No,
2018.11.26 19:00:12,2018.11.26 19:00:00,,,,2018.11.26 19:00:12,Resolved QFP,33.384360,-111.810960,12S,3694192,424573,386,,0.9,0xC4902600,8,,,,,2018.11.26 19:10:53,1,,,,Roof Test,No,
2018.11.26 19:10:53,2018.11.26 19:10:53,7,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.26 19:10:53,,,,,,,
