Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704719A
Comment,
Iridium IMEI,300434063149960

Report Period Begins,2018.11.26 17:45:00
Report Period Ends,2018.11.26 20:08:20

Report File Number,1 of 1
File Coverage Begins,2018.11.26 17:45:00
File Coverage Ends,2018.11.26 20:08:20

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.26 17:45:00,2018.11.26 17:45:00,,,,,,,,,,,,,,,,,,25,,2018.11.26 18:08:22,1,,,,Roof Test,No,
2018.11.26 17:45:09,2018.11.26 17:45:00,,,,2018.11.26 17:45:09,Resolved QFP,33.384542,-111.811068,12S,3694212,424563,396,,1.8,0x84180280,6,,,,,2018.11.26 18:08:22,1,,,,Roof Test,No,
2018.11.26 18:00:00,2018.11.26 18:00:00,,,,,,,,,,,,,,,,,,29,,2018.11.26 18:08:22,1,,,,Roof Test,No,
2018.11.26 18:00:12,2018.11.26 18:00:00,,,,2018.11.26 18:00:12,Resolved QFP,33.384444,-111.811053,12S,3694202,424564,368,,1.3,0x84184280,7,,,,,2018.11.26 18:08:22,1,,,,Roof Test,No,
2018.11.26 18:08:22,2018.11.26 18:08:22,3,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.26 18:08:22,,,,,,,
2018.11.26 18:08:22,2018.11.26 18:08:22,,,,,,,,,,,,,,,,,,,Hit,2018.11.26 18:08:22,1,No,No,,,No,
2018.11.26 18:15:00,2018.11.26 18:15:00,,,,,,,,,,,,,,,,,,30,,2018.11.26 18:38:20,1,,,,Roof Test,No,
2018.11.26 18:15:11,2018.11.26 18:15:00,,,,2018.11.26 18:15:11,Resolved QFP,33.384401,-111.811077,12S,3694197,424562,378,,1.4,0x84980280,7,,,,,2018.11.26 18:38:20,1,,,,Roof Test,No,
2018.11.26 18:30:00,2018.11.26 18:30:00,,,,,,,,,,,,,,,,,,30,,2018.11.26 18:38:20,1,,,,Roof Test,No,
2018.11.26 18:30:09,2018.11.26 18:30:00,,,,2018.11.26 18:30:09,Resolved QFP,33.384461,-111.811147,12S,3694204,424555,393,,1.0,0xC4980280,8,,,,,2018.11.26 18:38:20,1,,,,Roof Test,No,
2018.11.26 18:38:20,2018.11.26 18:38:20,4,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.26 18:38:20,,,,,,,
2018.11.26 18:38:20,2018.11.26 18:38:20,,,,,,,,,,,,,,,,,,,Hit,2018.11.26 18:38:20,1,No,No,,,No,
2018.11.26 18:45:00,2018.11.26 18:45:00,,,,,,,,,,,,,,,,,,31,,2018.11.26 19:08:20,1,,,,Roof Test,No,
2018.11.26 18:45:10,2018.11.26 18:45:00,,,,2018.11.26 18:45:10,Resolved QFP,33.384427,-111.810750,12S,3694199,424592,408,,1.2,0xC0980280,7,,,,,2018.11.26 19:08:20,1,,,,Roof Test,No,
