Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704688A
Comment,
Iridium IMEI,300434063247170

Report Period Begins,2018.11.19 20:15:00
Report Period Ends,2019.12.12 12:00:31

Report File Number,1 of 1
File Coverage Begins,2018.11.19 20:15:00
File Coverage Ends,2019.12.12 12:00:31

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.19 20:15:00,2018.11.19 20:15:00,,,,,,,,,,,,,,,,,,26,,2018.11.19 20:44:34,1,,,,Roof Test,No,
2018.11.19 20:15:12,2018.11.19 20:15:00,,,,2018.11.19 20:15:12,Resolved QFP,33.384434,-111.811160,12S,3694201,424554,395,,0.9,0xC1382681,11,,,,,2018.11.19 20:44:34,1,,,,Roof Test,No,
2018.11.19 20:30:00,2018.11.19 20:30:00,,,,,,,,,,,,,,,,,,34,,2018.11.19 20:44:34,1,,,,Roof Test,No,
2018.11.19 20:30:11,2018.11.19 20:30:00,,,,2018.11.19 20:30:11,Resolved QFP,33.384423,-111.811150,12S,3694199,424555,386,,1.6,0xC1282601,9,,,,,2018.11.19 20:44:34,1,,,,Roof Test,No,
2018.11.19 20:44:34,2018.11.19 20:44:34,3,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.19 20:44:34,,,,,,,
2018.11.19 20:44:34,2018.11.19 20:44:34,,,,,,,,,,,,,,,,,,,Hit,2018.11.19 20:44:34,1,No,No,,,No,
2018.11.19 20:45:00,2018.11.19 20:45:00,,,,,,,,,,,,,,,,,,38,,2018.11.19 21:14:31,1,,,,Roof Test,No,
2018.11.19 20:45:11,2018.11.19 20:45:00,,,,2018.11.19 20:45:11,Resolved QFP,33.384494,-111.811091,12S,3694207,424561,395,,1.5,0xC1282401,8,,,,,2018.11.19 21:14:31,1,,,,Roof Test,No,
2018.11.19 21:00:00,2018.11.19 21:00:00,,,,,,,,,,,,,,,,,,39,,2018.11.19 21:14:31,1,,,,Roof Test,No,
2018.11.19 21:00:11,2018.11.19 21:00:00,,,,2018.11.19 21:00:11,Resolved QFP,33.384395,-111.811191,12S,3694196,424551,401,,1.1,0xC1082E01,9,,,,,2018.11.19 21:14:31,1,,,,Roof Test,No,
2018.11.19 21:14:31,2018.11.19 21:14:31,3,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.19 21:14:31,,,,,,,
2018.11.19 21:14:31,2018.11.19 21:14:31,,,,,,,,,,,,,,,,,,,Hit,2018.11.19 21:14:31,1,No,No,,,No,
2018.11.19 21:15:00,2018.11.19 21:15:00,,,,,,,,,,,,,,,,,,41,,2018.11.19 21:44:35,1,,,,Roof Test,No,
2018.11.19 21:15:14,2018.11.19 21:15:00,,,,2018.11.19 21:15:14,Resolved QFP,33.384541,-111.811107,12S,3694212,424559,407,,0.9,0xC3280685,11,,,,,2018.11.19 21:44:35,1,,,,Roof Test,No,
