Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704762A
Comment,
Iridium IMEI,300434063151340

Report Period Begins,2018.11.29 17:15:00
Report Period Ends,2018.11.29 19:42:40

Report File Number,1 of 1
File Coverage Begins,2018.11.29 17:15:00
File Coverage Ends,2018.11.29 19:42:40

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.29 17:15:00,2018.11.29 17:15:00,,,,,,,,,,,,,,,,,,24,,2018.11.29 17:32:15,1,,,,Roof Test,No,
2018.11.29 17:15:14,2018.11.29 17:15:00,,,,2018.11.29 17:15:14,Resolved QFP,33.384351,-111.811057,12S,3694191,424564,391,,1.4,0x84986280,9,,,,,2018.11.29 17:32:15,1,,,,Roof Test,No,
2018.11.29 17:30:00,2018.11.29 17:30:00,,,,,,,,,,,,,,,,,,26,,2018.11.29 17:32:15,1,,,,Roof Test,No,
2018.11.29 17:30:13,2018.11.29 17:30:00,,,,2018.11.29 17:30:13,Resolved QFP,33.384367,-111.811117,12S,3694193,424558,390,,1.5,0x84984200,7,,,,,2018.11.29 17:32:15,1,,,,Roof Test,No,
2018.11.29 17:32:15,2018.11.29 17:32:15,7,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.29 17:32:15,,,,,,,
2018.11.29 17:32:15,2018.11.29 17:32:15,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:32:15,1,No,No,,,No,
2018.11.29 17:45:00,2018.11.29 17:45:00,,,,,,,,,,,,,,,,,,30,,2018.11.29 19:42:40,1,,,,Roof Test,No,
2018.11.29 17:45:12,2018.11.29 17:45:00,,,,2018.11.29 17:45:12,Resolved QFP,33.384376,-111.811097,12S,3694194,424560,390,,2.0,0x80984280,7,,,,,2018.11.29 19:42:40,1,,,,Roof Test,No,
2018.11.29 18:00:00,2018.11.29 18:00:00,,,,,,,,,,,,,,,,,,28,,2018.11.29 19:42:40,1,,,,Roof Test,No,
2018.11.29 18:00:09,2018.11.29 18:00:00,,,,2018.11.29 18:00:09,Resolved QFP,33.384374,-111.811168,12S,3694194,424553,394,,1.4,0x84980200,6,,,,,2018.11.29 19:42:40,1,,,,Roof Test,No,
2018.11.29 18:15:00,2018.11.29 18:15:00,,,,,,,,,,,,,,,,,,27,,2018.11.29 18:32:20,1,,,,Roof Test,No,
2018.11.29 18:15:12,2018.11.29 18:15:00,,,,2018.11.29 18:15:12,Resolved QFP,33.384367,-111.811071,12S,3694193,424562,402,,1.2,0xC4980200,7,,,,,2018.11.29 18:32:20,1,,,,Roof Test,No,
2018.11.29 18:30:00,2018.11.29 18:30:00,,,,,,,,,,,,,,,,,,25,,2018.11.29 18:32:20,1,,,,Roof Test,No,
