Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704707A
Comment,
Iridium IMEI,300434062099610

Report Period Begins,2018.11.26 17:45:00
Report Period Ends,2024.07.01 17:08:44

Report File Number,1 of 1
File Coverage Begins,2018.11.26 17:45:00
File Coverage Ends,2024.07.01 17:08:44

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.26 17:45:00,2018.11.26 17:45:00,,,,,,,,,,,,,,,,,,26,,2018.11.26 20:21:29,1,,,,Roof Test,No,
2018.11.26 17:45:12,2018.11.26 17:45:00,,,,2018.11.26 17:45:12,Resolved QFP,33.384605,-111.811166,12S,3694219,424554,391,,1.3,0x84984280,8,,,,,2018.11.26 20:21:29,1,,,,Roof Test,No,
2018.11.26 18:00:00,2018.11.26 18:00:00,,,,,,,,,,,,,,,,,,30,,2018.11.26 20:21:29,1,,,,Roof Test,No,
2018.11.26 18:00:16,2018.11.26 18:00:00,,,,2018.11.26 18:00:16,Resolved QFP,33.384315,-111.811095,12S,3694187,424560,385,,1.1,0x84986280,9,,,,,2018.11.26 20:21:29,1,,,,Roof Test,No,
2018.11.26 18:15:00,2018.11.26 18:15:00,,,,,,,,,,,,,,,,,,30,,2018.11.26 18:41:11,1,,,,Roof Test,No,
2018.11.26 18:15:10,2018.11.26 18:15:00,,,,2018.11.26 18:15:10,Resolved QFP,33.384406,-111.811121,12S,3694197,424558,389,,1.4,0x84980280,7,,,,,2018.11.26 18:41:11,1,,,,Roof Test,No,
2018.11.26 18:30:00,2018.11.26 18:30:00,,,,,,,,,,,,,,,,,,31,,2018.11.26 18:41:11,1,,,,Roof Test,No,
2018.11.26 18:30:12,2018.11.26 18:30:00,,,,2018.11.26 18:30:12,Resolved QFP,33.384381,-111.811119,12S,3694195,424558,378,,1.7,0x80982280,7,,,,,2018.11.26 18:41:11,1,,,,Roof Test,No,
2018.11.26 18:41:11,2018.11.26 18:41:11,,,,,,,,,,,,,,,,,,,Hit,2018.11.26 18:41:11,1,No,No,,,No,
2018.11.26 18:41:11,2018.11.26 18:41:11,6,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.26 18:41:11,,,,,,,
2018.11.26 18:45:00,2018.11.26 18:45:00,,,,,,,,,,,,,,,,,,32,,2018.11.26 19:11:12,1,,,,Roof Test,No,
2018.11.26 18:45:12,2018.11.26 18:45:00,,,,2018.11.26 18:45:12,Resolved QFP,33.384505,-111.811490,12S,3694209,424523,388,,3.6,0x80982600,7,,,,,2018.11.26 19:11:12,1,,,,Roof Test,No,
2018.11.26 19:00:00,2018.11.26 19:00:00,,,,,,,,,,,,,,,,,,33,,2018.11.26 19:11:12,1,,,,Roof Test,No,
