Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,700524A
Comment,
Iridium IMEI,300434062961720

Report Period Begins,2018.03.28 19:15:08
Report Period Ends,2019.10.23 20:49:53

Report File Number,1 of 1
File Coverage Begins,2018.03.28 19:15:08
File Coverage Ends,2019.10.23 20:49:53

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.03.28 19:15:08,2018.03.28 19:15:08,,,,,,,,,,,,,,,,,,6,,2018.03.28 23:20:40,1,,,,,Yes,
2018.03.28 19:16:50,2018.03.28 19:15:08,,,,2018.03.28 19:16:50,Succeeded,65.303699,-156.651177,4W,7244341,609484,,24.76,,,,,,,,2018.03.28 23:20:40,1,,,,,Yes,
2018.03.28 19:20:08,2018.03.28 19:15:08,,,,,,,,,,,,,,,,,37,,,2018.03.28 23:20:40,1,,,,,Yes,
2018.03.28 20:00:00,2018.03.28 20:00:00,,,,,,,,,,,,,,,,,,0,,2018.03.30 16:00:43,1,,,,Primary,No,
2018.03.28 20:00:14,2018.03.28 20:00:00,,,,2018.03.28 20:00:14,Resolved QFP,65.303482,-156.651546,4W,7244316,609467,114,,1.0,0x2C081150,8,,,,,2018.03.30 16:00:43,1,,,,Primary,No,
2018.03.28 23:20:40,2018.03.28 23:20:40,4,65.35430,-156.66596,,,,,,,,,,,,,,,,,2018.03.28 23:20:40,,,,,,,
2018.03.28 23:20:40,2018.03.28 23:20:40,,,,,,,,,,,,,,,,,,,Hit,2018.03.28 23:20:40,1,,,,,Yes,
2018.03.29 00:00:00,2018.03.29 00:00:00,,,,,,,,,,,,,,,,,,26,,2018.03.30 16:00:43,1,,,,Primary,No,
2018.03.29 00:00:07,2018.03.29 00:00:00,,,,2018.03.29 00:00:07,Resolved QFP,65.304042,-156.655792,4W,7244371,609267,84,,0.9,0x08874E01,10,,,,,2018.03.30 16:00:43,1,,,,Primary,No,
2018.03.29 02:10:00,2018.03.29 02:00:00,,,,,,,,,,,,,,,,,0,,,2018.03.30 16:00:43,1,,,,Primary,No,
2018.03.29 04:00:00,2018.03.29 04:00:00,,,,,,,,,,,,,,,,,,24,,2018.03.30 16:00:43,1,,,,Primary,No,
2018.03.29 04:00:06,2018.03.29 04:00:00,,,,2018.03.29 04:00:06,Resolved QFP,65.305968,-156.650692,4W,7244595,609497,71,,1.5,0x51400822,7,,,,,2018.03.30 16:00:43,1,,,,Primary,No,
2018.03.29 08:00:00,2018.03.29 08:00:00,,,,,,,,,,,,,,,,,,24,,2018.03.30 16:00:43,1,,,,Primary,No,
2018.03.29 08:00:07,2018.03.29 08:00:00,,,,2018.03.29 08:00:07,Resolved QFP,65.306047,-156.650493,4W,7244604,609506,104,,1.5,0x26189050,9,,,,,2018.03.30 16:00:43,1,,,,Primary,No,
