Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704746A
Comment,
Iridium IMEI,300434063151330

Report Period Begins,2018.11.28 18:30:00
Report Period Ends,2018.11.28 21:00:39

Report File Number,1 of 1
File Coverage Begins,2018.11.28 18:30:00
File Coverage Ends,2018.11.28 21:00:39

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.28 18:30:00,2018.11.28 18:30:00,,,,,,,,,,,,,,,,,,30,,2018.11.28 18:50:39,1,,,,Roof Test,No,
2018.11.28 18:30:13,2018.11.28 18:30:00,,,,2018.11.28 18:30:13,Resolved QFP,33.384433,-111.811170,12S,3694200,424553,392,,1.0,0xC0982680,9,,,,,2018.11.28 18:50:39,1,,,,Roof Test,No,
2018.11.28 18:45:00,2018.11.28 18:45:00,,,,,,,,,,,,,,,,,,35,,2018.11.28 18:50:39,1,,,,Roof Test,No,
2018.11.28 18:45:12,2018.11.28 18:45:00,,,,2018.11.28 18:45:12,Resolved QFP,33.384455,-111.811041,12S,3694203,424565,377,,1.0,0xC4982280,9,,,,,2018.11.28 18:50:39,1,,,,Roof Test,No,
2018.11.28 18:50:39,2018.11.28 18:50:39,2,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.28 18:50:39,,,,,,,
2018.11.28 18:50:39,2018.11.28 18:50:39,,,,,,,,,,,,,,,,,,,Hit,2018.11.28 18:50:39,1,No,No,,,No,
2018.11.28 19:00:00,2018.11.28 19:00:00,,,,,,,,,,,,,,,,,,36,,2018.11.28 19:20:38,1,,,,Roof Test,No,
2018.11.28 19:00:11,2018.11.28 19:00:00,,,,2018.11.28 19:00:11,Resolved QFP,33.384339,-111.811088,12S,3694190,424561,384,,1.4,0xC0182600,7,,,,,2018.11.28 19:20:38,1,,,,Roof Test,No,
2018.11.28 19:15:00,2018.11.28 19:15:00,,,,,,,,,,,,,,,,,,36,,2018.11.28 19:20:38,1,,,,Roof Test,No,
2018.11.28 19:15:11,2018.11.28 19:15:00,,,,2018.11.28 19:15:11,Resolved QFP,33.384367,-111.811107,12S,3694193,424559,386,,1.6,0xC0A82601,9,,,,,2018.11.28 19:20:38,1,,,,Roof Test,No,
2018.11.28 19:20:38,2018.11.28 19:20:38,9,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.28 19:20:38,,,,,,,
2018.11.28 19:20:38,2018.11.28 19:20:38,,,,,,,,,,,,,,,,,,,Hit,2018.11.28 19:20:38,1,No,No,,,No,
2018.11.28 19:30:00,2018.11.28 19:30:00,,,,,,,,,,,,,,,,,,38,,2018.11.28 19:50:40,1,,,,Roof Test,No,
2018.11.28 19:30:11,2018.11.28 19:30:00,,,,2018.11.28 19:30:11,Resolved QFP,33.384409,-111.811142,12S,3694198,424556,399,,0.7,0xC4B82681,12,,,,,2018.11.28 19:50:40,1,,,,Roof Test,No,
