Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,700571A
Comment,
Iridium IMEI,300434062982880

Report Period Begins,2018.01.21 00:55:36
Report Period Ends,2018.10.07 20:00:21

Report File Number,1 of 1
File Coverage Begins,2018.01.21 00:55:36
File Coverage Ends,2018.10.07 20:00:21

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.01.21 00:55:36,2018.01.21 00:55:36,,,,,,,,,,,,,,,,,,4,,2018.01.21 01:00:49,1,,,,,Yes,
2018.01.21 00:56:33,2018.01.21 00:55:36,,,,2018.01.21 00:56:33,Succeeded,62.682556,-141.607506,7V,6950368,468895,,8.65,,,,,,,,2018.01.21 01:00:49,1,,,,,Yes,
2018.01.21 01:00:36,2018.01.21 00:55:36,,,,,,,,,,,,,,,,,5,,,2018.01.21 01:00:49,1,,,,,Yes,
2018.01.21 01:00:49,2018.01.21 01:00:49,,,,,,,,,,,,,,,,,,,Hit,2018.01.21 01:00:49,1,,,,,Yes,
2018.01.21 01:00:49,2018.01.21 01:00:49,5,62.68142,-141.64528,,,,,,,,,,,,,,,,,2018.01.21 01:00:49,,,,,,,
2018.01.21 10:10:00,2018.01.21 10:00:00,,,,,,,,,,,,,,,,,69,,,2018.01.28 05:01:10,1,,,,Primary,No,
2018.01.21 20:00:00,2018.01.21 20:00:00,,,,,,,,,,,,,,,,,,-6,,2018.01.28 05:01:10,1,,,,Primary,No,
2018.01.21 20:00:07,2018.01.21 20:00:00,,,,2018.01.21 20:00:07,Resolved QFP,62.665577,-141.612184,7V,6948479,468637,623,,1.5,0x40640026,7,,,,,2018.01.28 05:01:10,1,,,,Primary,No,
2018.01.22 11:10:00,2018.01.22 11:00:00,,,,,,,,,,,,,,,,,77,,,2018.01.28 05:01:10,1,,,,Primary,No,
2018.01.22 21:00:00,2018.01.22 21:00:00,,,,,,,,,,,,,,,,,,-4,,2018.01.28 05:01:10,1,,,,Primary,No,
2018.01.22 21:00:07,2018.01.22 21:00:00,,,,2018.01.22 21:00:07,Resolved QFP,62.647935,-141.548781,7V,6946484,471869,595,,0.9,0x4260012E,9,,,,,2018.01.28 05:01:10,1,,,,Primary,No,
2018.01.23 12:10:00,2018.01.23 12:00:00,,,,,,,,,,,,,,,,,13,,,2018.01.28 05:01:10,1,,,,Primary,No,
2018.01.23 22:00:00,2018.01.23 22:00:00,,,,,,,,,,,,,,,,,,-4,,2018.01.28 05:01:10,1,,,,Primary,No,
2018.01.23 22:00:07,2018.01.23 22:00:00,,,,2018.01.23 22:00:07,Resolved QFP,62.628705,-141.573645,7V,6944353,470575,589,,1.1,0x22408170,8,,,,,2018.01.28 05:01:10,1,,,,Primary,No,
2018.01.24 13:10:00,2018.01.24 13:00:00,,,,,,,,,,,,,,,,,0,,,2018.01.28 05:01:10,1,,,,Primary,No,
