Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704542A
Comment,
Iridium IMEI,300434063833520

Report Period Begins,2018.11.13 12:45:00
Report Period Ends,2018.11.13 15:21:52

Report File Number,1 of 1
File Coverage Begins,2018.11.13 12:45:00
File Coverage Ends,2018.11.13 15:21:52

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.13 12:45:00,2018.11.13 12:45:00,,,,,,,,,,,,,,,,,,19,,2018.11.13 13:11:49,1,,,,Roof Test,No,
2018.11.13 12:45:14,2018.11.13 12:45:00,,,,2018.11.13 12:45:14,Resolved QFP,33.384766,-111.811028,12S,3694237,424567,393,,1.8,0x51000832,7,,,,,2018.11.13 13:11:49,1,,,,Roof Test,No,
2018.11.13 13:00:00,2018.11.13 13:00:00,,,,,,,,,,,,,,,,,,11,,2018.11.13 13:11:49,1,,,,Roof Test,No,
2018.11.13 13:00:16,2018.11.13 13:00:00,,,,2018.11.13 13:00:16,Resolved QFP,33.384714,-111.811279,12S,3694232,424543,419,,1.9,0x51000812,6,,,,,2018.11.13 13:11:49,1,,,,Roof Test,No,
2018.11.13 13:11:49,2018.11.13 13:11:49,,,,,,,,,,,,,,,,,,,Hit,2018.11.13 13:11:49,1,No,No,,,No,
2018.11.13 13:15:00,2018.11.13 13:15:00,,,,,,,,,,,,,,,,,,8,,2018.11.13 13:41:48,1,,,,Roof Test,No,
2018.11.13 13:15:25,2018.11.13 13:15:00,,,,2018.11.13 13:15:25,Resolved QFP,33.384634,-111.811192,12S,3694223,424551,399,,2.1,0x51000812,6,,,,,2018.11.13 13:41:48,1,,,,Roof Test,No,
2018.11.13 13:30:00,2018.11.13 13:30:00,,,,,,,,,,,,,,,,,,7,,2018.11.13 13:41:48,1,,,,Roof Test,No,
2018.11.13 13:30:12,2018.11.13 13:30:00,,,,2018.11.13 13:30:12,Resolved QFP,33.384541,-111.811162,12S,3694212,424554,398,,0.9,0x51105812,9,,,,,2018.11.13 13:41:48,1,,,,Roof Test,No,
2018.11.13 13:41:48,2018.11.13 13:41:48,8,33.35027,-111.80938,,,,,,,,,,,,,,,,,2018.11.13 13:41:48,,,,,,,
2018.11.13 13:41:48,2018.11.13 13:41:48,,,,,,,,,,,,,,,,,,,Hit,2018.11.13 13:41:48,1,No,No,,,No,
2018.11.13 13:45:00,2018.11.13 13:45:00,,,,,,,,,,,,,,,,,,6,,2018.11.13 14:11:49,1,,,,Roof Test,No,
2018.11.13 13:45:11,2018.11.13 13:45:00,,,,2018.11.13 13:45:11,Resolved QFP,33.384474,-111.811209,12S,3694205,424550,389,,1.0,0x51104812,8,,,,,2018.11.13 14:11:49,1,,,,Roof Test,No,
2018.11.13 14:00:00,2018.11.13 14:00:00,,,,,,,,,,,,,,,,,,5,,2018.11.13 14:11:49,1,,,,Roof Test,No,
