Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,700604A
Comment,
Iridium IMEI,300434062499840

Report Period Begins,2017.12.12 17:45:00
Report Period Ends,2019.02.18 00:01:59

Report File Number,1 of 1
File Coverage Begins,2017.12.12 17:45:00
File Coverage Ends,2019.02.18 00:01:59

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2017.12.12 17:45:00,2017.12.12 17:45:00,,,,,,,,,,,,,,,,,,28,,2017.12.12 18:02:52,1,,,,Roof Test,No,
2017.12.12 17:45:09,2017.12.12 17:45:00,,,,2017.12.12 17:45:09,Resolved QFP,33.384481,-111.811165,12S,3694206,424554,384,,1.3,0x84920280,7,,,,,2017.12.12 18:02:52,1,,,,Roof Test,No,
2017.12.12 18:00:00,2017.12.12 18:00:00,,,,,,,,,,,,,,,,,,29,,2017.12.12 18:02:52,1,,,,Roof Test,No,
2017.12.12 18:00:10,2017.12.12 18:00:00,,,,2017.12.12 18:00:10,Resolved QFP,33.384441,-111.811147,12S,3694201,424555,390,,1.0,0x84922280,8,,,,,2017.12.12 18:02:52,1,,,,Roof Test,No,
2017.12.12 18:02:52,2017.12.12 18:02:52,,,,,,,,,,,,,,,,,,,Hit,2017.12.12 18:02:52,1,No,No,,,No,
2017.12.12 18:02:52,2017.12.12 18:02:52,4,33.38040,-111.80938,,,,,,,,,,,,,,,,,2017.12.12 18:02:52,,,,,,,
2017.12.12 18:15:00,2017.12.12 18:15:00,,,,,,,,,,,,,,,,,,27,,2017.12.12 20:13:08,1,,,,Roof Test,No,
2017.12.12 18:15:10,2017.12.12 18:15:00,,,,2017.12.12 18:15:10,Resolved QFP,33.384471,-111.811217,12S,3694205,424549,393,,1.1,0x84922280,8,,,,,2017.12.12 20:13:08,1,,,,Roof Test,No,
2017.12.12 18:30:00,2017.12.12 18:30:00,,,,,,,,,,,,,,,,,,28,,2017.12.12 20:13:08,1,,,,Roof Test,No,
2017.12.12 18:30:10,2017.12.12 18:30:00,,,,2017.12.12 18:30:10,Resolved QFP,33.384547,-111.811200,12S,3694213,424551,374,,1.1,0x84922280,8,,,,,2017.12.12 20:13:08,1,,,,Roof Test,No,
2017.12.12 18:45:00,2017.12.12 18:45:00,,,,,,,,,,,,,,,,,,32,,2017.12.12 19:02:45,1,,,,Roof Test,No,
2017.12.12 18:45:10,2017.12.12 18:45:00,,,,2017.12.12 18:45:10,Resolved QFP,33.384369,-111.811083,12S,3694193,424561,369,,1.9,0x84822280,7,,,,,2017.12.12 19:02:45,1,,,,Roof Test,No,
2017.12.12 19:00:00,2017.12.12 19:00:00,,,,,,,,,,,,,,,,,,33,,2017.12.12 19:02:45,1,,,,Roof Test,No,
