Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704816A
Comment,
Iridium IMEI,300434063153170

Report Period Begins,2018.11.19 19:15:00
Report Period Ends,2024.03.21 02:37:47

Report File Number,1 of 1
File Coverage Begins,2018.11.19 19:15:00
File Coverage Ends,2024.03.21 02:37:47

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.19 19:15:00,2018.11.19 19:15:00,,,,,,,,,,,,,,,,,,33,,2018.11.19 19:32:44,1,,,,Roof Test,No,
2018.11.19 19:15:12,2018.11.19 19:15:00,,,,2018.11.19 19:15:12,Resolved QFP,33.384392,-111.811266,12S,3694196,424544,385,,0.8,0xC4982680,10,,,,,2018.11.19 19:32:44,1,,,,Roof Test,No,
2018.11.19 19:30:00,2018.11.19 19:30:00,,,,,,,,,,,,,,,,,,35,,2018.11.19 19:32:44,1,,,,Roof Test,No,
2018.11.19 19:30:09,2018.11.19 19:30:00,,,,2018.11.19 19:30:09,Resolved QFP,33.384380,-111.811261,12S,3694195,424545,372,,1.1,0xC0180680,7,,,,,2018.11.19 19:32:44,1,,,,Roof Test,No,
2018.11.19 19:32:44,2018.11.19 19:32:44,9,33.37668,-111.71357,,,,,,,,,,,,,,,,,2018.11.19 19:32:44,,,,,,,
2018.11.19 19:32:44,2018.11.19 19:32:44,,,,,,,,,,,,,,,,,,,Hit,2018.11.19 19:32:44,1,No,No,,,No,
2018.11.19 19:45:00,2018.11.19 19:45:00,,,,,,,,,,,,,,,,,,34,,2018.11.19 20:02:41,1,,,,Roof Test,No,
2018.11.19 19:45:11,2018.11.19 19:45:00,,,,2018.11.19 19:45:11,Resolved QFP (Uncertain),33.384383,-111.811275,12S,3694195,424543,384,,1.5,0xC0980600,7,,,,,2018.11.19 20:02:41,1,,,,Roof Test,No,
2018.11.19 20:00:00,2018.11.19 20:00:00,,,,,,,,,,,,,,,,,,34,,2018.11.19 20:02:41,1,,,,Roof Test,No,
2018.11.19 20:00:11,2018.11.19 20:00:00,,,,2018.11.19 20:00:11,Resolved QFP,33.384401,-111.811255,12S,3694197,424545,380,,1.1,0xC0282681,9,,,,,2018.11.19 20:02:41,1,,,,Roof Test,No,
2018.11.19 20:02:41,2018.11.19 20:02:41,99,33.38153,-112.60000,,,,,,,,,,,,,,,,,2018.11.19 20:02:41,,,,,,,
2018.11.19 20:02:41,2018.11.19 20:02:41,,,,,,,,,,,,,,,,,,,Hit,2018.11.19 20:02:41,1,No,No,,,No,
2018.11.19 20:15:00,2018.11.19 20:15:00,,,,,,,,,,,,,,,,,,35,,2018.11.19 20:32:45,1,,,,Roof Test,No,
2018.11.19 20:15:10,2018.11.19 20:15:00,,,,2018.11.19 20:15:10,Resolved QFP,33.384415,-111.811270,12S,3694199,424544,388,,1.2,0xC4280600,7,,,,,2018.11.19 20:32:45,1,,,,Roof Test,No,
