Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704690A
Comment,
Iridium IMEI,300434062090800

Report Period Begins,2018.11.19 20:30:00
Report Period Ends,2020.02.18 21:27:53

Report File Number,1 of 1
File Coverage Begins,2018.11.19 20:30:00
File Coverage Ends,2020.02.18 21:27:53

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.19 20:30:00,2018.11.19 20:30:00,,,,,,,,,,,,,,,,,,34,,2018.11.19 20:45:54,1,,,,Roof Test,No,
2018.11.19 20:30:16,2018.11.19 20:30:00,,,,2018.11.19 20:30:16,Resolved QFP,33.384443,-111.811052,12S,3694201,424564,366,,1.0,0xC4282681,10,,,,,2018.11.19 20:45:54,1,,,,Roof Test,No,
2018.11.19 20:45:00,2018.11.19 20:45:00,,,,,,,,,,,,,,,,,,38,,2018.11.19 20:45:54,1,,,,Roof Test,No,
2018.11.19 20:45:11,2018.11.19 20:45:00,,,,2018.11.19 20:45:11,Resolved QFP,33.384480,-111.811043,12S,3694206,424565,406,,0.8,0xC5282681,11,,,,,2018.11.19 20:45:54,1,,,,Roof Test,No,
2018.11.19 20:45:54,2018.11.19 20:45:54,,,,,,,,,,,,,,,,,,,Hit,2018.11.19 20:45:54,1,No,No,,,No,
2018.11.19 20:45:54,2018.11.19 20:45:54,6,33.38040,-111.80938,,,,,,,,,,,,,,,,,2018.11.19 20:45:54,,,,,,,
2018.11.19 21:00:00,2018.11.19 21:00:00,,,,,,,,,,,,,,,,,,39,,2018.11.19 21:15:52,1,,,,Roof Test,No,
2018.11.19 21:00:09,2018.11.19 21:00:00,,,,2018.11.19 21:00:09,Resolved QFP,33.384498,-111.810988,12S,3694208,424570,391,,1.1,0xC0280684,8,,,,,2018.11.19 21:15:52,1,,,,Roof Test,No,
2018.11.19 21:15:00,2018.11.19 21:15:00,,,,,,,,,,,,,,,,,,41,,2018.11.19 21:15:52,1,,,,Roof Test,No,
2018.11.19 21:15:12,2018.11.19 21:15:00,,,,2018.11.19 21:15:12,Resolved QFP,33.384377,-111.811067,12S,3694194,424563,413,,0.9,0xC0282E85,11,,,,,2018.11.19 21:15:52,1,,,,Roof Test,No,
2018.11.19 21:15:52,2018.11.19 21:15:52,,,,,,,,,,,,,,,,,,,Hit,2018.11.19 21:15:52,1,No,No,,,No,
2018.11.19 21:15:52,2018.11.19 21:15:52,4,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.19 21:15:52,,,,,,,
2018.11.19 21:30:00,2018.11.19 21:30:00,,,,,,,,,,,,,,,,,,37,,2018.11.19 21:45:55,1,,,,Roof Test,No,
2018.11.19 21:30:13,2018.11.19 21:30:00,,,,2018.11.19 21:30:13,Resolved QFP,33.384387,-111.811146,12S,3694195,424555,390,,1.2,0xC1280605,9,,,,,2018.11.19 21:45:55,1,,,,Roof Test,No,
