Telonics Data Report
Report Format,Complete,1
Headers Row,23
Data Source,Iridium
TDC Version,2.83 SECO1787

CTN,704768A
Comment,
Iridium IMEI,300434063246030

Report Period Begins,2018.11.29 17:00:00
Report Period Ends,2018.11.29 19:29:16

Report File Number,1 of 1
File Coverage Begins,2018.11.29 17:00:00
File Coverage Ends,2018.11.29 19:29:16

Measurement Units,,km,degrees,degrees,,,degrees,degrees,,meters,meters,meters,meters,,,,,,degrees C,Hit,,,Yes/No,Yes/No,,,Yes/No,
Resolution,,a few km,a few km,a few km,,,0.000006,0.000006,,1,1,,0.50,,,,,,,,,,,,,,,
Range Minimum,,,,,2000.01.01 00:00:00,,-90.000000,-180.000000,,,,,0.00,,,,,0,-40,,,,,,,,,
Range Maximum,,,,,2100.01.01 00:00:00,,90.000000,180.000000,,,,,127.99,,,,,65535,70,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,GPS Navigation Time,Activity Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Iridium Command,Schedule Set,Predeployment Data,Error
2018.11.29 17:00:00,2018.11.29 17:00:00,,,,,,,,,,,,,,,,,,23,,2018.11.29 17:29:09,1,,,,Roof Test,No,
2018.11.29 17:00:08,2018.11.29 17:00:00,,,,2018.11.29 17:00:08,Resolved QFP,33.384388,-111.811009,12S,3694195,424568,413,,1.2,0x90980280,7,,,,,2018.11.29 17:29:09,1,,,,Roof Test,No,
2018.11.29 17:15:00,2018.11.29 17:15:00,,,,,,,,,,,,,,,,,,24,,2018.11.29 17:29:09,1,,,,Roof Test,No,
2018.11.29 17:15:12,2018.11.29 17:15:00,,,,2018.11.29 17:15:12,Resolved QFP,33.384394,-111.811115,12S,3694196,424558,367,,1.9,0x84184280,7,,,,,2018.11.29 17:29:09,1,,,,Roof Test,No,
2018.11.29 17:29:09,2018.11.29 17:29:09,3,33.38778,-111.76945,,,,,,,,,,,,,,,,,2018.11.29 17:29:09,,,,,,,
2018.11.29 17:29:09,2018.11.29 17:29:09,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:29:09,1,No,No,,,No,
2018.11.29 17:30:00,2018.11.29 17:30:00,,,,,,,,,,,,,,,,,,26,,2018.11.29 17:59:13,1,,,,Roof Test,No,
2018.11.29 17:30:11,2018.11.29 17:30:00,,,,2018.11.29 17:30:11,Resolved QFP,33.384382,-111.811137,12S,3694195,424556,383,,2.2,0x84184200,6,,,,,2018.11.29 17:59:13,1,,,,Roof Test,No,
2018.11.29 17:45:00,2018.11.29 17:45:00,,,,,,,,,,,,,,,,,,30,,2018.11.29 17:59:13,1,,,,Roof Test,No,
2018.11.29 17:45:08,2018.11.29 17:45:00,,,,2018.11.29 17:45:08,Resolved QFP,33.384417,-111.811110,12S,3694199,424559,402,,1.3,0x84980280,7,,,,,2018.11.29 17:59:13,1,,,,Roof Test,No,
2018.11.29 17:59:13,2018.11.29 17:59:13,7,33.42897,-111.82537,,,,,,,,,,,,,,,,,2018.11.29 17:59:13,,,,,,,
2018.11.29 17:59:13,2018.11.29 17:59:13,,,,,,,,,,,,,,,,,,,Hit,2018.11.29 17:59:13,1,No,No,,,No,
2018.11.29 18:00:00,2018.11.29 18:00:00,,,,,,,,,,,,,,,,,,29,,2018.11.29 18:29:13,1,,,,Roof Test,No,
2018.11.29 18:00:09,2018.11.29 18:00:00,,,,2018.11.29 18:00:09,Resolved QFP,33.384451,-111.811120,12S,3694202,424558,421,,1.4,0x84980200,6,,,,,2018.11.29 18:29:13,1,,,,Roof Test,No,
